grouping,value,count,mean,median,std
month,1,103,905.6018446601943,915.0,29.7267759656
month,2,99,897.3519191919191,909.0,37.48131078983251
month,3,52,910.428076923077,905.25,13.427582533719491
month,4,86,915.866976744186,922.5,26.09081348673236
month,5,86,915.0438372093024,934.5,37.62891276253999
month,6,78,935.7065384615385,936.675,9.100053350339266
month,7,87,929.1131034482759,936.53,26.33596225123502
month,8,88,935.3212500000001,936.855,13.484071131583601
month,9,63,931.725873015873,936.5,30.770358360945924
month,10,51,930.961568627451,933.0,18.513942462106677
month,11,73,926.3098630136985,932.04,23.531950000250887
month,12,78,910.3438461538462,924.655,40.54919033671376
weekday,Friday,135,919.8808148148148,929.92,27.618273370324737
weekday,Monday,127,916.3029133858267,927.77,35.92567336215403
weekday,Saturday,139,919.8525899280576,931.25,30.611814128832002
weekday,Sunday,134,920.870671641791,932.5,32.96638482025186
weekday,Thursday,140,921.2517142857143,931.7149999999999,26.388480180728756
weekday,Tuesday,134,918.6494029850746,928.015,32.41813387831216
weekday,Wednesday,135,918.2372592592593,930.0,29.1637060128241
year,2018,2,899.75,899.75,20.859650045003153
year,2019,337,917.3234421364986,926.0,24.989446868290162
year,2020,289,925.3612110726644,933.0,22.711585506884887
year,2021,276,920.2007608695652,933.79,37.853536294042975
year,2022,40,887.6137500000001,890.85,46.847082862825204
