Date,Consumption,reason
2019-01-09,838.5,below_IQR_fence
2019-01-15,859.5,below_IQR_fence
2019-01-23,856.0,below_IQR_fence
2019-01-24,849.0,below_IQR_fence
2019-01-25,849.5,below_IQR_fence
2019-01-26,867.0,below_IQR_fence
2019-02-08,817.0,below_IQR_fence
2019-02-09,855.0,below_IQR_fence
2019-02-11,861.0,below_IQR_fence
2019-02-12,1000.0,above_IQR_fence
2019-02-25,848.5,below_IQR_fence
2019-02-26,855.5,below_IQR_fence
2019-09-30,717.0,below_IQR_fence
2019-10-10,863.5,below_IQR_fence
2019-12-19,840.5,below_IQR_fence
2020-01-03,856.0,below_IQR_fence
2020-01-11,852.0,below_IQR_fence
2020-01-16,863.5,below_IQR_fence
2020-04-14,1000.0,above_IQR_fence
2020-10-31,862.35,below_IQR_fence
2020-12-13,799.73,below_IQR_fence
2020-12-14,771.85,below_IQR_fence
2020-12-15,863.77,below_IQR_fence
2020-12-19,837.73,below_IQR_fence
2020-12-20,863.81,below_IQR_fence
2020-12-29,827.59,below_IQR_fence
2021-01-12,845.55,below_IQR_fence
2021-01-13,829.58,below_IQR_fence
2021-01-14,859.46,below_IQR_fence
2021-01-15,866.22,below_IQR_fence
2021-02-14,797.89,below_IQR_fence
2021-04-13,856.98,below_IQR_fence
2021-04-14,861.36,below_IQR_fence
2021-04-17,845.53,below_IQR_fence
2021-04-24,853.34,below_IQR_fence
2021-04-29,858.59,below_IQR_fence
2021-04-30,849.48,below_IQR_fence
2021-05-05,857.93,below_IQR_fence
2021-05-06,842.41,below_IQR_fence
2021-05-08,848.79,below_IQR_fence
2021-05-09,852.95,below_IQR_fence
2021-05-10,821.79,below_IQR_fence
2021-05-11,856.34,below_IQR_fence
2021-05-12,852.19,below_IQR_fence
2021-05-13,850.22,below_IQR_fence
2021-05-14,838.73,below_IQR_fence
2021-05-15,844.27,below_IQR_fence
2021-05-16,839.82,below_IQR_fence
2021-05-17,830.06,below_IQR_fence
2021-05-25,788.0,below_IQR_fence
2021-07-10,839.18,below_IQR_fence
2021-07-12,812.57,below_IQR_fence
2021-07-13,813.07,below_IQR_fence
2021-07-14,837.27,below_IQR_fence
2021-11-06,781.8,below_IQR_fence
2021-12-26,746.61,below_IQR_fence
2021-12-27,826.45,below_IQR_fence
2021-12-28,829.62,below_IQR_fence
2022-01-12,859.0,below_IQR_fence
2022-01-31,850.0,below_IQR_fence
2022-02-01,855.0,below_IQR_fence
2022-02-02,784.0,below_IQR_fence
2022-02-03,849.0,below_IQR_fence
2022-02-04,855.0,below_IQR_fence
2022-02-05,857.0,below_IQR_fence
2022-02-06,860.0,below_IQR_fence
2022-02-07,853.0,below_IQR_fence
2022-02-08,840.09,below_IQR_fence
2022-02-09,852.5,below_IQR_fence
2022-02-10,834.76,below_IQR_fence
2022-02-11,849.09,below_IQR_fence
2022-02-12,819.43,below_IQR_fence
2022-02-13,817.65,below_IQR_fence
2022-02-23,853.19,below_IQR_fence
2022-02-24,858.5,below_IQR_fence
2022-02-25,811.94,below_IQR_fence
2022-02-26,859.78,below_IQR_fence
