feature,model_importance_mean,permutation_importance_mae_mean,stability_fraction,combined_score,domain_sanity_passed,redundant_with,eligible_after_redundancy,selected
consumption_lag_1,0.12476084550036748,0.8028061414141443,1.0,0.9774328585649882,True,,True,True
day_of_year_cos,0.05716349881799626,0.7648683232323267,1.0,0.7933027810862251,True,,True,True
month,0.1338206973097292,0.20065604040403806,1.0,0.749981110030948,True,,True,True
ema_7,0.03366691937058983,0.7483305050505046,1.0,0.7279085924820233,True,,True,True
rolling_median_7,0.1105258677927175,0.40747684848485166,0.6666666666666666,0.6667191378131087,True,,True,True
rolling_mean_7,0.026860226391028325,0.4008724444444482,1.0,0.5666856876780072,True,,True,True
fourier_yearly_sin_2,0.06983217013987536,0.282579434343436,0.3333333333333333,0.402385604603583,True,,True,True
ema_30,0.04331987796658245,0.13923147474747471,0.6666666666666666,0.3879378330653917,True,,True,True
rolling_slope_7,0.02961482311174567,0.18508315151515284,0.6666666666666666,0.3728380635039234,True,,True,True
rolling_std_7,0.014169528071469028,0.13287791919192507,0.6666666666666666,0.3126893049229844,True,,True,True
growth_7d,0.01030623103622511,0.06940925252524911,0.6666666666666666,0.27671339632895836,True,,True,True
day_over_day_change,0.01310167181286676,0.040807636363636136,0.6666666666666666,0.27180086235046946,True,,True,True
rolling_slope_30,0.010755174683829282,0.0543874949494968,0.6666666666666666,0.2715944802898831,True,,True,True
rolling_min_7,0.009545429539478414,0.045866585858588375,0.6666666666666666,0.2650431631727371,True,,True,True
consumption_lag_14,0.03588365965174373,0.08600052525252339,0.3333333333333333,0.23620184591321527,True,,True,True
day_of_year_sin,0.026472543654326844,-0.0947658383838385,0.3333333333333333,0.17705144317861857,True,,True,True
same_weekday_previous_week,0.01061767386911574,0.034296888888890466,0.3333333333333333,0.1517990436273211,True,,True,True
rolling_std_30,0.007455001212351022,0.04628705050505199,0.3333333333333333,0.14889959539219513,True,,True,True
rolling_max_7,0.005673486673902345,0.03437507070707042,0.3333333333333333,0.13951605333913056,True,,True,True
rolling_min_30,0.003003027846892876,0.03022921212121285,0.3333333333333333,0.13114281729799357,True,,True,True
fourier_yearly_cos_1,0.0684000677364507,0.6856352525252558,1.0,0.7883935141630859,True,day_of_year_cos,False,False
rolling_mean_30,0.03976658048161457,0.033223777777775375,0.3333333333333333,0.22396034863009473,True,ema_30,False,False
rolling_max_30,0.004496205617551684,0.020619090909092582,0.3333333333333333,0.13087194588094014,True,,True,False
same_period_previous_year,0.0022753349782749957,0.03275210101010231,0.3333333333333333,0.13037773992991558,True,,True,False
fourier_weekly_sin_2,0.0056954850012442965,-0.011673616161612443,0.3333333333333333,0.1252979673940423,True,,True,False
fourier_yearly_sin_1,0.027684696436294065,-0.10686452525252693,0.0,0.06895967762051433,True,day_of_year_sin,False,False
fourier_yearly_cos_2,0.02198177289350677,-0.06843727272727,0.0,0.05475429271011733,True,,True,False
consumption_lag_7,0.011727160472169361,0.023214101010099363,0.0,0.03884986032432298,True,,True,False
rolling_median_30,0.011546134203118305,-0.7962006666666671,0.0,0.0287602103292853,True,,True,False
consumption_lag_30,0.008284654773143788,-0.008670747474746084,0.0,0.020636206854133282,True,,True,False
fourier_weekly_cos_1,0.00364737956682153,-0.0026165656565621496,0.0,0.009085240275848703,True,,True,False
consumption_lag_365,0.002312518496618356,0.0056398989899018185,0.0,0.008101985068016238,True,,True,False
day_of_week,0.003154192612982292,-0.005618020202017249,0.0,0.00785676325708642,True,,True,False
day_of_week_cos,0.002865008140028146,-0.009972969696967956,0.0,0.007136435039882903,True,,True,False
day_of_week_sin,0.002782521089718154,-0.0044572525252495636,0.0,0.006930968441745061,True,,True,False
is_india_holiday,0.0006933785402360418,0.01207781818181933,0.0,0.006741967107829649,True,,True,False
fourier_weekly_sin_1,0.0024296152741615728,-0.013570444444442607,0.0,0.006051917037761372,True,,True,False
fourier_weekly_cos_2,0.00207081380084788,-0.0013714141414100803,0.0,0.005158180168136879,True,,True,False
season,0.0012721583208446438,-0.0038934949494922946,0.0,0.0031688130621035948,True,,True,False
is_weekend,0.00036596711153964647,-0.001759454545454749,0.0,0.0009115857235262901,True,,True,False
