model,mae,mse,rmse,r2
naive_lag_1,14.740151515151515,625.900215151515,25.017997824596495,0.284896308752584
svr,15.242552518417146,745.8954784388745,27.311087097347013,0.14779928652480923
knn,16.887261904761914,699.3761515615338,26.44572085539613,0.2009485610561793
ridge,17.445788863594075,695.414581826532,26.370714473190368,0.20547473483285406
lasso,17.716688915230804,712.2775270255837,26.688528004099133,0.18620847790366335
linear_regression,17.97607098038474,728.0215884840802,26.981875184725027,0.1682205683429172
voting,18.95569273895356,715.1251909445267,26.741824749716066,0.18295496411572632
decision_tree,19.480157119912864,919.8053227460503,30.3282924469224,-0.05089623809363086
random_forest,19.645018181818177,725.9409826097651,26.943291977962996,0.17059770275625752
bagging,20.07332575757579,762.1226441942433,27.6065688594987,0.12925942050584838
gradient_boosting,21.253250854756818,928.3070632089948,30.468131928442787,-0.06060964901745902
