model,trial_number,validation_mae,state,parameters_json
ridge,0,19.76000287011325,COMPLETE,"{""alpha"": 0.0745934328572655}"
ridge,1,19.518931788491443,COMPLETE,"{""alpha"": 56.69849511478853}"
ridge,2,19.307282012148313,COMPLETE,"{""alpha"": 4.5705630998014515}"
ridge,3,19.462621756227115,COMPLETE,"{""alpha"": 0.9846738873614566}"
ridge,4,19.816603971967247,COMPLETE,"{""alpha"": 0.006026889128682512}"
ridge,5,19.816605509052895,COMPLETE,"{""alpha"": 0.0060252157362038605}"
ridge,6,19.820365802929338,COMPLETE,"{""alpha"": 0.0019517224641449498}"
ridge,7,19.31445881410495,COMPLETE,"{""alpha"": 21.42302175774105}"
ridge,8,19.45858521244637,COMPLETE,"{""alpha"": 1.0129197956845732}"
ridge,9,19.32190090800669,COMPLETE,"{""alpha"": 3.4702669886504163}"
ridge,10,19.764008284761918,COMPLETE,"{""alpha"": 0.06932824978383144}"
ridge,11,19.37200270588872,COMPLETE,"{""alpha"": 35.40717007635877}"
ridge,12,19.305418559574335,COMPLETE,"{""alpha"": 4.764768259055204}"
ridge,13,19.304791304886134,COMPLETE,"{""alpha"": 4.834112652465209}"
ridge,14,19.653883510979202,COMPLETE,"{""alpha"": 0.24953910300192575}"
ridge,15,19.291947707352442,COMPLETE,"{""alpha"": 7.15715776245093}"
ridge,16,19.294054906974957,COMPLETE,"{""alpha"": 10.843754592803318}"
ridge,17,19.30414905249288,COMPLETE,"{""alpha"": 14.858784928650698}"
ridge,18,19.509387926247413,COMPLETE,"{""alpha"": 0.7124252843547841}"
ridge,19,19.743605301764457,COMPLETE,"{""alpha"": 94.84705950721546}"
random_forest,0,25.003005370537704,COMPLETE,"{""max_depth"": 14, ""max_features"": 0.6202948099826744, ""min_samples_leaf"": 2, ""n_estimators"": 75}"
random_forest,1,22.28655997391342,COMPLETE,"{""max_depth"": 18, ""max_features"": 0.7705811061417018, ""min_samples_leaf"": 6, ""n_estimators"": 125}"
random_forest,2,23.31940926430876,COMPLETE,"{""max_depth"": 16, ""max_features"": 0.9010235593143332, ""min_samples_leaf"": 4, ""n_estimators"": 75}"
random_forest,3,22.04462958743464,COMPLETE,"{""max_depth"": 4, ""max_features"": 0.6105144979421857, ""min_samples_leaf"": 7, ""n_estimators"": 125}"
random_forest,4,28.143361098527134,COMPLETE,"{""max_depth"": 9, ""max_features"": 0.9216123471148523, ""min_samples_leaf"": 1, ""n_estimators"": 150}"
random_forest,5,23.23465483223686,COMPLETE,"{""max_depth"": 20, ""max_features"": 0.9772440625543326, ""min_samples_leaf"": 4, ""n_estimators"": 225}"
random_forest,6,28.01329479714586,COMPLETE,"{""max_depth"": 15, ""max_features"": 0.9485492899907672, ""min_samples_leaf"": 1, ""n_estimators"": 150}"
random_forest,7,26.16524599482623,COMPLETE,"{""max_depth"": 8, ""max_features"": 0.7716012576402029, ""min_samples_leaf"": 1, ""n_estimators"": 125}"
random_forest,8,22.323625173263135,COMPLETE,"{""max_depth"": 14, ""max_features"": 0.9543313789155439, ""min_samples_leaf"": 8, ""n_estimators"": 150}"
random_forest,9,27.008131204636538,COMPLETE,"{""max_depth"": 12, ""max_features"": 0.5904572976289505, ""min_samples_leaf"": 1, ""n_estimators"": 250}"
random_forest,10,22.40627750387948,COMPLETE,"{""max_depth"": 4, ""max_features"": 0.5204603583294737, ""min_samples_leaf"": 8, ""n_estimators"": 200}"
random_forest,11,22.423092635466322,COMPLETE,"{""max_depth"": 20, ""max_features"": 0.7240123362739546, ""min_samples_leaf"": 6, ""n_estimators"": 100}"
random_forest,12,22.37002759426097,COMPLETE,"{""max_depth"": 4, ""max_features"": 0.7843955499360222, ""min_samples_leaf"": 6, ""n_estimators"": 175}"
random_forest,13,22.344555535096948,COMPLETE,"{""max_depth"": 8, ""max_features"": 0.67119848414891, ""min_samples_leaf"": 6, ""n_estimators"": 125}"
random_forest,14,22.404491134365486,COMPLETE,"{""max_depth"": 18, ""max_features"": 0.8466875202779163, ""min_samples_leaf"": 7, ""n_estimators"": 100}"
random_forest,15,23.351198093711137,COMPLETE,"{""max_depth"": 12, ""max_features"": 0.5108162777655431, ""min_samples_leaf"": 4, ""n_estimators"": 125}"
random_forest,16,22.557763016997868,COMPLETE,"{""max_depth"": 10, ""max_features"": 0.6937725690938378, ""min_samples_leaf"": 5, ""n_estimators"": 175}"
random_forest,17,22.221859175767182,COMPLETE,"{""max_depth"": 5, ""max_features"": 0.6014907789615682, ""min_samples_leaf"": 7, ""n_estimators"": 100}"
random_forest,18,22.103750638487604,COMPLETE,"{""max_depth"": 6, ""max_features"": 0.5800684802963008, ""min_samples_leaf"": 7, ""n_estimators"": 100}"
random_forest,19,22.043387010729777,COMPLETE,"{""max_depth"": 6, ""max_features"": 0.5746932126392229, ""min_samples_leaf"": 7, ""n_estimators"": 75}"
gradient_boosting,0,25.912203003563445,COMPLETE,"{""learning_rate"": 0.013688090729945365, ""max_depth"": 4, ""min_samples_leaf"": 3, ""n_estimators"": 225}"
gradient_boosting,1,25.805383284835322,COMPLETE,"{""learning_rate"": 0.06203508872281686, ""max_depth"": 3, ""min_samples_leaf"": 4, ""n_estimators"": 125}"
gradient_boosting,2,29.180695361091598,COMPLETE,"{""learning_rate"": 0.08393127889385947, ""max_depth"": 5, ""min_samples_leaf"": 4, ""n_estimators"": 150}"
gradient_boosting,3,23.015305771093036,COMPLETE,"{""learning_rate"": 0.01404816755744128, ""max_depth"": 2, ""min_samples_leaf"": 8, ""n_estimators"": 125}"
gradient_boosting,4,33.13681797324967,COMPLETE,"{""learning_rate"": 0.14037179086758858, ""max_depth"": 4, ""min_samples_leaf"": 2, ""n_estimators"": 250}"
gradient_boosting,5,25.329891056188387,COMPLETE,"{""learning_rate"": 0.015171672090844258, ""max_depth"": 3, ""min_samples_leaf"": 7, ""n_estimators"": 175}"
gradient_boosting,6,29.94106981424633,COMPLETE,"{""learning_rate"": 0.07328097194130306, ""max_depth"": 5, ""min_samples_leaf"": 2, ""n_estimators"": 100}"
gradient_boosting,7,28.508123862341357,COMPLETE,"{""learning_rate"": 0.016108895795875783, ""max_depth"": 2, ""min_samples_leaf"": 1, ""n_estimators"": 175}"
gradient_boosting,8,24.856051486629152,COMPLETE,"{""learning_rate"": 0.039103436758409264, ""max_depth"": 5, ""min_samples_leaf"": 8, ""n_estimators"": 75}"
gradient_boosting,9,32.645881893095066,COMPLETE,"{""learning_rate"": 0.030976244505097006, ""max_depth"": 4, ""min_samples_leaf"": 1, ""n_estimators"": 225}"
gradient_boosting,10,22.755802462749788,COMPLETE,"{""learning_rate"": 0.1643022157094854, ""max_depth"": 2, ""min_samples_leaf"": 6, ""n_estimators"": 50}"
gradient_boosting,11,22.40609221525384,COMPLETE,"{""learning_rate"": 0.19849519744118316, ""max_depth"": 2, ""min_samples_leaf"": 6, ""n_estimators"": 50}"
gradient_boosting,12,23.68757825545165,COMPLETE,"{""learning_rate"": 0.18590494678437672, ""max_depth"": 2, ""min_samples_leaf"": 6, ""n_estimators"": 50}"
gradient_boosting,13,25.82922632381175,COMPLETE,"{""learning_rate"": 0.12518320723606338, ""max_depth"": 3, ""min_samples_leaf"": 6, ""n_estimators"": 50}"
gradient_boosting,14,25.84801754579286,COMPLETE,"{""learning_rate"": 0.1818801702711335, ""max_depth"": 2, ""min_samples_leaf"": 5, ""n_estimators"": 75}"
gradient_boosting,15,26.16796810059881,COMPLETE,"{""learning_rate"": 0.11138358479036699, ""max_depth"": 3, ""min_samples_leaf"": 6, ""n_estimators"": 50}"
gradient_boosting,16,26.338568254052,COMPLETE,"{""learning_rate"": 0.19751706220401175, ""max_depth"": 2, ""min_samples_leaf"": 5, ""n_estimators"": 75}"
gradient_boosting,17,23.817263649622134,COMPLETE,"{""learning_rate"": 0.11442042630217701, ""max_depth"": 2, ""min_samples_leaf"": 7, ""n_estimators"": 100}"
gradient_boosting,18,25.673967828437902,COMPLETE,"{""learning_rate"": 0.05078366534691149, ""max_depth"": 3, ""min_samples_leaf"": 5, ""n_estimators"": 100}"
gradient_boosting,19,22.450115791198733,COMPLETE,"{""learning_rate"": 0.0925293844942139, ""max_depth"": 2, ""min_samples_leaf"": 7, ""n_estimators"": 50}"
