feature,model_importance_mean,permutation_importance_mae_mean,stability_fraction,combined_score,domain_sanity_passed,redundant_with,eligible_after_redundancy,selected
rolling_slope_7,0.10919717661214147,0.7965213675213683,0.6666666666666666,0.8888888888888888,True,,True,True
day_of_year_sin,0.024314017389888493,0.018004273504274398,1.0,0.41508840763058424,True,,True,True
day_over_day_change,0.015056291757421078,0.052837606837607604,1.0,0.40140571632838284,True,,True,True
consumption_lag_1,0.09304069844337078,0.013649572649570752,0.3333333333333333,0.4008376304338721,True,,True,True
rolling_mean_30,0.08901119954914004,-0.00041025641025669305,0.3333333333333333,0.38282509466125303,True,,True,True
fourier_yearly_sin_2,0.08268371860011658,-0.5713504273504277,0.3333333333333333,0.36350994035252304,True,,True,True
fourier_weekly_cos_2,0.0037845803721226687,0.015448717948716427,1.0,0.3513511530193276,True,,True,True
rolling_std_7,0.03319818938048561,-0.13070940170940054,0.6666666666666666,0.32356241681474535,True,,True,True
growth_7d,0.01962746093054472,0.025957264957263134,0.6666666666666666,0.2929994172345342,True,,True,True
rolling_slope_30,0.014683493156520469,0.05588888888889082,0.6666666666666666,0.2904335268672195,True,,True,True
rolling_median_7,0.017155419525467012,-0.005337606837607231,0.6666666666666666,0.27459054668419225,True,,True,True
consumption_lag_30,0.009720418672240364,0.05411111111111223,0.6666666666666666,0.27453935937935575,True,,True,True
fourier_weekly_sin_1,0.005184084264060223,0.02440598290598507,0.6666666666666666,0.24826063553659572,True,,True,True
day_of_week_sin,0.005173765212612871,0.009901709401710986,0.6666666666666666,0.2421592950613171,True,,True,True
month,0.04266974149192208,-0.0006623931623915762,0.3333333333333333,0.24136399497910452,True,,True,True
day_of_week_cos,0.003054273482900684,-0.005957264957265629,0.6666666666666666,0.23154564241085093,True,,True,True
is_india_holiday,0.00010792808309646074,-0.00044017094017074023,0.6666666666666666,0.22255168154356167,True,,True,True
ema_7,0.03364546451383529,-0.045320512820511756,0.3333333333333333,0.21381664971473557,True,,True,True
fourier_yearly_cos_2,0.02617289557352197,0.037517094017096686,0.3333333333333333,0.2067064128166841,True,,True,True
consumption_lag_14,0.0546690849977387,-0.1705384615384634,0.0,0.1668818635971342,True,,True,True
fourier_yearly_sin_1,0.023304837384578236,0.021940170940171852,0.6666666666666666,0.30254381124192786,True,day_of_year_sin,False,False
ema_30,0.07618269309547036,-0.007136752136752023,0.0,0.23255391594987362,True,rolling_mean_30,False,False
rolling_median_30,0.01900683461013338,-0.4555683760683775,0.3333333333333333,0.16913103189362957,True,rolling_mean_30,False,False
rolling_std_30,0.017578969584786792,-0.2554188034188027,0.3333333333333333,0.16477235685078107,True,,True,False
rolling_min_7,0.013255245330113288,-0.03226495726495813,0.3333333333333333,0.1515738341147614,True,,True,False
fourier_weekly_sin_2,0.006268101148993778,-0.006012820512820305,0.3333333333333333,0.13024500371243572,True,,True,False
day_of_week,0.003958157053483552,-0.0062905982905986585,0.3333333333333333,0.1231937099971689,True,,True,False
rolling_min_30,0.003305989756170071,-0.03833760683760777,0.3333333333333333,0.1212029158589959,True,,True,False
rolling_max_30,0.0017943267760188082,-0.025670940170938888,0.3333333333333333,0.11658844068954911,True,,True,False
is_weekend,0.0002954757912002357,-0.0030256410256408613,0.3333333333333333,0.11201307518615228,True,,True,False
fourier_yearly_cos_1,0.035569425631592384,-0.003991452991451894,0.0,0.10857858763733358,True,rolling_mean_30,False,False
day_of_year_cos,0.03258596943334186,-0.007645299145299114,0.0,0.09947134301553201,True,rolling_mean_30,False,False
consumption_lag_7,0.024452150120111333,-0.12407692307692338,0.0,0.07464219277073791,True,,True,False
rolling_mean_7,0.023682913049062188,-0.14965384615384658,0.0,0.07229403355113524,True,ema_7,False,False
same_weekday_previous_week,0.022864649759699374,-0.06233760683760992,0.0,0.06979621778107735,True,,True,False
rolling_max_7,0.009421850876425115,-0.09414102564102483,0.0,0.028760972181209044,True,,True,False
fourier_weekly_cos_1,0.002915858293010437,-0.02058974358974973,0.0,0.008900896474540738,True,,True,False
season,0.0014066502966612923,0.0,0.0,0.00429391534440366,True,,True,False
