fold,model,mae,mse,rmse,r2
1,gradient_boosting,20.108824659513704,800.728899859864,28.297153564623137,-0.9219237978932431
1,linear_regression,72.9910415627344,6551.730259222559,80.94275915251814,-14.725579911978727
1,naive_lag_1,9.89171974522293,696.9426751592357,26.39967187597671,-0.6728142488554323
1,random_forest,16.910032944637205,600.216182596202,24.499309839181226,-0.44064959490554645
1,ridge,11.489934251745563,448.6232905838003,21.180729226912852,-0.0767936296705154
2,gradient_boosting,10.698535552918221,326.6974392563106,18.074773560305275,0.11450670066162805
2,linear_regression,24.81355023446007,802.150535226902,28.322262184135326,-1.1741796495896164
2,naive_lag_1,10.006560509554138,392.1387828025477,19.802494358099125,-0.06286803279757858
2,random_forest,10.474531099739643,260.0869204304734,16.127210559500778,0.2950504117479461
2,ridge,11.133460157149553,257.9850422713655,16.061912783705605,0.3007474231177093
3,gradient_boosting,13.597670655624075,506.9457598167114,22.515456020625287,0.22751285350637196
3,linear_regression,14.136742270334612,501.7172108545811,22.399044864783434,0.23548014939522333
3,naive_lag_1,12.898471337579613,494.85704331210155,22.24538251665054,0.24593371596864577
3,random_forest,13.20816786378686,471.517617130918,21.714456408828614,0.2814984808026978
3,ridge,13.319924524831343,479.4857759831945,21.897163651559865,0.2693565500824793
4,gradient_boosting,25.60458618894758,1386.541371117744,37.23629104942843,0.05431409976345114
4,linear_regression,23.41266177295369,1012.9256211584582,31.826492441965044,0.309137471213214
4,naive_lag_1,16.488216560509557,763.3508401273889,27.62880453670388,0.479359115076204
4,random_forest,22.790779729470387,1033.7643129451028,32.15220541339432,0.2949245112449741
4,ridge,21.24137495759554,895.4641786266169,29.924307487836987,0.38925165484861524
5,gradient_boosting,26.540012224702124,1131.0148097699712,33.630563625517354,0.33698044757655143
5,linear_regression,16.804574261485314,755.580251570563,27.48782005853798,0.5570663833144689
5,naive_lag_1,16.719363057324845,934.7111082802547,30.57304545314802,0.452056917996288
5,random_forest,21.203565950900717,865.8618079883898,29.425529867589297,0.49241751440038284
5,ridge,16.588130693414183,755.8087588290492,27.491976262703435,0.5569324285873174
