outer_fold,model,selected_trial_number,inner_cv_mean_mae,parameters_json
1,gradient_boosting,19,13.07239150219487,"{""learning_rate"": 0.0412561592527323, ""max_depth"": 4, ""min_samples_leaf"": 7, ""n_estimators"": 100}"
1,ridge,13,13.368279878683712,"{""alpha"": 10.931199937806662}"
1,random_forest,14,14.572727570890686,"{""max_depth"": 6, ""max_features"": 0.8729803657693358, ""min_samples_leaf"": 6, ""n_estimators"": 250}"
2,ridge,14,20.266818124249774,"{""alpha"": 71.54196851976768}"
2,random_forest,17,20.50217952668056,"{""max_depth"": 6, ""max_features"": 0.5002518011126585, ""min_samples_leaf"": 6, ""n_estimators"": 75}"
2,gradient_boosting,11,23.813204511782864,"{""learning_rate"": 0.030068133075716562, ""max_depth"": 3, ""min_samples_leaf"": 4, ""n_estimators"": 200}"
3,ridge,12,13.569321276636183,"{""alpha"": 65.39114041873667}"
3,random_forest,13,19.025029958370155,"{""max_depth"": 12, ""max_features"": 0.5710047506612053, ""min_samples_leaf"": 7, ""n_estimators"": 125}"
3,gradient_boosting,13,19.38251473435407,"{""learning_rate"": 0.15935060943428808, ""max_depth"": 2, ""min_samples_leaf"": 8, ""n_estimators"": 175}"
4,ridge,18,14.238933603591295,"{""alpha"": 95.96104469996699}"
4,gradient_boosting,10,16.025718639199336,"{""learning_rate"": 0.038098868514205506, ""max_depth"": 2, ""min_samples_leaf"": 1, ""n_estimators"": 175}"
4,random_forest,12,16.11982541206184,"{""max_depth"": 4, ""max_features"": 0.5015089668598527, ""min_samples_leaf"": 6, ""n_estimators"": 225}"
5,ridge,7,14.774079307847927,"{""alpha"": 54.9635879207847}"
5,random_forest,14,18.14378286222545,"{""max_depth"": 18, ""max_features"": 0.5654768652170944, ""min_samples_leaf"": 8, ""n_estimators"": 75}"
5,gradient_boosting,10,21.67330975099469,"{""learning_rate"": 0.08505355964177269, ""max_depth"": 5, ""min_samples_leaf"": 8, ""n_estimators"": 50}"
