date,model,actual,prediction,residual,absolute_error
2021-12-26,naive_last,746.61,944.78,-198.16999999999996,198.16999999999996
2021-11-06,naive_last,781.8,944.78,-162.98000000000002,162.98000000000002
2022-02-02,naive_last,784.0,944.78,-160.77999999999997,160.77999999999997
2022-02-25,naive_last,811.94,944.78,-132.83999999999992,132.83999999999992
2021-07-12,naive_last,812.57,944.78,-132.20999999999992,132.20999999999992
2021-07-13,naive_last,813.07,944.78,-131.70999999999992,131.70999999999992
2022-02-13,naive_last,817.65,944.78,-127.13,127.13
2022-02-12,naive_last,819.43,944.78,-125.35000000000002,125.35000000000002
2021-12-27,naive_last,826.45,944.78,-118.32999999999993,118.32999999999993
2021-12-28,naive_last,829.62,944.78,-115.15999999999997,115.15999999999997
2022-02-10,naive_last,834.76,944.78,-110.01999999999998,110.01999999999998
2021-07-14,naive_last,837.27,944.78,-107.50999999999999,107.50999999999999
2021-07-10,naive_last,839.18,944.78,-105.60000000000002,105.60000000000002
2022-02-08,naive_last,840.09,944.78,-104.68999999999994,104.68999999999994
2022-02-03,naive_last,849.0,944.78,-95.77999999999997,95.77999999999997
2022-02-11,naive_last,849.09,944.78,-95.68999999999994,95.68999999999994
2022-01-31,naive_last,850.0,944.78,-94.77999999999997,94.77999999999997
2022-02-09,naive_last,852.5,944.78,-92.27999999999997,92.27999999999997
2022-02-07,naive_last,853.0,944.78,-91.77999999999997,91.77999999999997
2022-02-23,naive_last,853.19,944.78,-91.58999999999992,91.58999999999992
