grouping,value,count,mean,median,std
month,1,341,97594.67322841642,97816.88112,4173.1833746802085
month,2,311,97335.21046836014,97135.44226,4715.667973560214
month,3,303,97726.91999970296,96769.28332,4024.675392131533
month,4,270,99330.66688170371,99079.82854,3427.380612839742
month,5,279,106601.93523164875,106515.5168,4959.308651699314
month,6,300,116686.43870666668,115311.32145,5786.961129421712
month,7,341,120319.43891818181,120009.2325,6537.94446506325
month,8,341,117368.98579384164,117071.1531,3710.0798210516027
month,9,302,111971.8738731788,112645.2806,4377.926332055375
month,10,341,102518.11472917888,102772.5195,4103.25044607098
month,11,330,99675.4787520909,98505.92185,4607.314434524244
month,12,341,97368.29098237536,97134.47871,4029.9236817052997
weekday,Friday,544,105436.86859181985,102940.1721,9739.877702293552
weekday,Monday,542,105432.00035979705,103027.26205,9761.603092239922
weekday,Saturday,542,105430.66134874539,103001.11935,9759.13841663591
weekday,Sunday,542,105434.67971311808,103000.13034999999,9762.769056119952
weekday,Thursday,544,105412.45284338236,102953.04795000001,9791.639485178608
weekday,Tuesday,542,105450.25848234317,103049.122,9777.164199326036
weekday,Wednesday,544,105444.19751794117,102955.4222,9771.072018773057
year,2009,184,104980.94026483697,106866.89009999999,6595.535912152961
year,2010,365,104366.08510591782,99410.76706,9374.047633361797
year,2011,365,101430.3576429863,95621.72339,10896.360798401141
year,2012,366,100987.02238040984,94597.939355,11064.548789721366
year,2013,365,103674.66538120547,101421.2519,9951.683369728406
year,2014,151,99521.13549039736,99268.19811,3536.6946171502273
year,2015,365,104093.62103931508,99890.81944,7183.126992538205
year,2016,366,106840.86036811477,101786.89865,10482.25595333417
year,2017,297,109999.3829989899,104138.8281,8317.872485258606
year,2018,365,108964.09632936986,108135.2672,8182.976408406449
year,2019,365,108077.42177035617,105307.6797,5806.27841755158
year,2020,246,111384.49959674798,103472.7415,12231.411013196623
