Date,actual,patchtst,naive_lag1,residual,absolute_error
2018-12-05,103757.5251,111233.984,104231.4687,-7476.459275000001,7476.459275000001
2018-11-29,105847.3593,113244.55,108281.924,-7397.187575000004,7397.187575000004
2018-11-30,105215.8358,112565.98,105847.3593,-7350.140762499999,7350.140762499999
2018-12-06,103285.056,110581.984,103757.5251,-7296.928375000003,7296.928375000003
2018-12-01,104685.4449,111274.195,105215.8358,-6588.750412499998,6588.750412499998
2018-12-04,104231.4687,110603.63,104687.6832,-6372.164112500002,6372.164112500002
2018-12-08,102912.9089,108981.52,103676.895,-6068.614537500005,6068.614537500005
2017-10-18,106191.668,112187.18,106480.7579,-5995.511687499995,5995.511687499995
2017-10-19,105763.4326,111709.54,106191.668,-5946.1064625,5946.1064625
2017-10-17,106480.7579,112385.24,108023.875,-5904.484287500003,5904.484287500003
2017-10-20,105267.6782,111162.58,105763.4326,-5894.899925000005,5894.899925000005
2018-10-04,109194.9518,115089.36,110332.6884,-5894.407575000005,5894.407575000005
2018-12-07,103676.895,109559.24,103285.056,-5882.347187499996,5882.347187499996
2018-10-05,108900.2962,114720.46,109194.9518,-5820.164737500003,5820.164737500003
2017-10-25,104313.8276,110117.59,104588.9425,-5803.766149999996,5803.766149999996
2018-12-02,104685.4449,110456.55,104685.4449,-5771.101974999998,5771.101974999998
2018-12-14,101665.6689,107402.87,102528.1368,-5737.198287499996,5737.198287499996
2018-10-10,108279.6316,114004.875,108689.3046,-5725.243400000007,5725.243400000007
2017-10-13,108294.1217,113982.67,108663.047,-5688.550174999997,5688.550174999997
2017-10-12,108663.047,114333.31,109045.5067,-5670.265499999994,5670.265499999994
