feature,model_importance_mean,permutation_importance_mae_mean,stability_fraction,combined_score,domain_sanity_passed,redundant_with,eligible_after_redundancy,selected
consumption_lag_1,0.994151612442213,9345.33140257516,1.0,1.0,True,,True,True
same_period_previous_year,0.00013647804948043805,33.32775290614662,1.0,0.3345678423846801,True,,True,True
fourier_yearly_cos_1,0.0003412850170590339,28.81897420172595,1.0,0.33447569191197607,True,,True,True
fourier_yearly_cos_2,0.0004490528446960389,4.7378409553431196,0.6666666666666666,0.2225417784312361,True,,True,True
rolling_std_30,0.0005340945923743333,2.0498876252444838,0.6666666666666666,0.2224744173563601,True,,True,True
consumption_lag_14,4.1152113037977004e-05,6.336747554549707,0.6666666666666666,0.22246204214956575,True,,True,True
rolling_slope_30,0.00024929681293060633,3.0038265416122383,0.6666666666666666,0.22241295180144546,True,,True,True
fourier_yearly_sin_2,0.0002530708160122965,0.5170685325861993,0.6666666666666666,0.22232551843991297,True,,True,True
day_over_day_change,7.421258177281216e-05,1.7858833455471919,0.6666666666666666,0.22231080493688496,True,,True,True
day_of_year_sin,0.00011048899734369976,2.097600199605116,0.3333333333333333,0.11122297555177352,True,,True,True
consumption_lag_365,4.5054576012022e-05,2.532323303585008,0.3333333333333333,0.11121654165782663,True,,True,True
rolling_max_30,3.175289471114476e-05,1.361912598386084,0.3333333333333333,0.11117033496376848,True,,True,True
growth_7d,7.304209156736535e-05,0.7517019895376621,0.3333333333333333,0.11116241373801371,True,,True,True
rolling_min_30,4.493435533518843e-05,-0.2527205092302249,0.3333333333333333,0.11112617734271764,True,,True,True
rolling_std_7,0.00012317462725289083,-2.922075298750928,0.0,4.129974600497219e-05,True,,True,True
is_canada_ontario_holiday,7.507297449043212e-05,-0.35148743271666555,0.0,2.5171537738262864e-05,True,,True,True
consumption_lag_30,6.500364188246858e-05,-0.6656328790526117,0.0,2.1795348271136072e-05,True,,True,True
rolling_slope_7,6.036838219417027e-05,-0.39113822674672366,0.0,2.0241172284869274e-05,True,,True,True
fourier_weekly_cos_2,1.4996049704914879e-05,0.1456286076283315,0.0,1.0222433783591207e-05,True,,True,True
day_of_week_sin,2.8897906222472878e-05,-0.3154772933769095,0.0,9.68930220193238e-06,True,,True,True
rolling_min_7,0.0004927444536264718,23.184945847811154,1.0,0.3343255184256238,True,consumption_lag_1,False,False
day_of_year_cos,0.00036207200380888454,24.247787696782666,1.0,0.33431961460671983,True,fourier_yearly_cos_1,False,False
rolling_median_7,0.000167289356651928,3.111307266114227,1.0,0.3335003999519435,True,rolling_min_7,False,False
ema_7,0.00010675341414379662,1.8223232011167774,1.0,0.33343412655501187,True,rolling_median_7,False,False
rolling_max_7,0.0013505939099726788,21.32196048996592,0.6666666666666666,0.223435589547038,True,rolling_median_7,False,False
same_weekday_previous_week,0.00018025020312826938,18.47520212693227,0.6666666666666666,0.22294164060319585,True,rolling_min_7,False,False
rolling_mean_7,9.872057046362281e-05,-2.009543057827443,0.6666666666666666,0.22225532266325088,True,ema_7,False,False
fourier_yearly_sin_1,9.452007483166514e-05,0.37843555540545903,0.3333333333333333,0.11115630135355731,True,day_of_year_sin,False,False
consumption_lag_7,2.6029538841944467e-05,0.3012275819150356,0.0,1.9471871099380637e-05,True,same_weekday_previous_week,False,False
ema_30,4.410597118606699e-05,-1.5057407851046831,0.0,1.4788479152831678e-05,True,consumption_lag_14,False,False
rolling_mean_30,3.848193055383464e-05,-0.6811886375770806,0.0,1.290277058757691e-05,True,ema_30,False,False
fourier_weekly_sin_2,1.892436379160484e-05,0.0830130160502184,0.0,9.3061748891589e-06,True,,True,False
rolling_median_30,2.5846874379208963e-05,-2.746366150646065,0.0,8.666308725189998e-06,True,consumption_lag_14,False,False
fourier_weekly_cos_1,2.329904567795207e-05,0.004243809616999272,0.0,7.96340641752448e-06,True,,True,False
fourier_weekly_sin_1,2.1069512528137153e-05,-0.5074200458733306,0.0,7.064486698823938e-06,True,,True,False
season,1.5021222282906622e-05,-0.08289159463685489,0.0,5.0365296717690065e-06,True,,True,False
day_of_week_cos,1.2982135123153186e-05,-0.012546327764179438,0.0,4.352835443030509e-06,True,,True,False
month,1.0510071132563985e-05,-1.7878106225429253,0.0,3.523966566409039e-06,True,,True,False
day_of_week,6.470716930628708e-06,-0.1682395263708372,0.0,2.169594271686882e-06,True,,True,False
is_weekend,1.2728646514731127e-06,0.008173324440853473,0.0,7.183138974090822e-07,True,,True,False
