model,mae,mse,rmse,r2
naive_lag_1,219.93076665413543,338437.8984201216,581.7541563410798,0.9965553124401159
lasso,309.7976838609242,358571.22805772774,598.8081730051183,0.9963503914473267
linear_regression,310.1371022003533,358863.8051509522,599.0524227068547,0.996347413540071
voting,322.5516876067934,395651.624114436,629.008445185306,0.9959729798760801
random_forest,344.01749728068097,441527.183891765,664.4751190915766,0.9955060493969423
bagging,345.142056999245,443559.0494187584,666.0022893494875,0.9954853686695863
ridge,379.20316622254217,416858.5833122988,645.6458652483565,0.9957571312702566
gradient_boosting,392.5254253204611,574688.8266580931,758.0823350125586,0.9941507039807458
decision_tree,581.0161538633637,990580.0563098228,995.2788836852828,0.9899176811670068
knn,3241.1398707116005,17804879.80124634,4219.582894226199,0.8187784280575706
svr,7164.214230423621,105406060.79416026,10266.745384695203,-0.07284363851981013
