model,mae,mse,rmse,r2
naive_lag_1,223.73671344736826,173676.3514799029,416.7449477557021,0.9975736177057708
linear_regression,251.6803039164544,147941.61188237355,384.631787405011,0.997933150342045
lasso,251.691530479485,147959.16472598264,384.6546044518155,0.9979329051163215
ridge,282.14813540232825,164523.47213420697,405.6149308570962,0.9977014899474225
voting,389.6442506545312,506986.82476041914,712.0300729326109,0.9929170330645247
gradient_boosting,486.5717473554359,999696.0291097483,999.8480030033306,0.9860335346523917
random_forest,492.834405023445,1041202.3062660337,1020.3932115934689,0.9854536624064975
bagging,529.9883811285943,1271826.6931774446,1127.7529397777887,0.9822316755081599
decision_tree,880.6708737101544,4241756.155503134,2059.552416303876,0.940739646218666
knn,2880.4209445169176,13253847.636412324,3640.5834197848462,0.814834311284325
svr,6450.311806127951,84630691.77331747,9199.49410420581,-0.18235102428959538
