fold,model,mae,mse,rmse,r2
1,naive_lag_1,244.12415156398126,177018.4282987712,420.73558002476,0.9986067567828596
1,linear_regression,532.729695280343,407107.2622836368,638.0495766659803,0.9967958170385066
1,lasso,535.452498725383,410767.4452496675,640.9114176309138,0.9967670091616098
1,ridge,888.3011886310181,1048896.2084056528,1024.1563398259334,0.9917445457973509
1,voting,935.6721834975558,1952103.188595656,1397.1768637490588,0.9846357548600613
1,bagging,1093.2597122420268,3626823.40090834,1904.4220648029523,0.9714546832686087
1,random_forest,1130.0853952478176,3749048.1154919527,1936.2458819819224,0.9704927000660852
1,gradient_boosting,1227.7918035567925,4191674.291064609,2047.357880553522,0.967008961549299
1,decision_tree,1358.8439691388062,5750339.119900855,2397.986472001219,0.9547413167541134
1,knn,3928.326098533066,30483713.62995229,5521.205813040508,0.7600745433323047
1,svr,8868.784954150704,126572730.1937214,11250.454666088895,0.003795257295457266
2,naive_lag_1,242.03297225908412,796661.4467706098,892.558931819412,0.9884002606637873
2,voting,422.1977451927333,836691.8289511518,914.7086033000629,0.9878174007793212
2,gradient_boosting,428.9655254510238,827164.8845488242,909.4860551700747,0.987956117259434
2,ridge,455.1270065384792,1026631.0986109768,1013.2280585391311,0.9850518018832082
2,random_forest,521.7702378587602,1253153.685380329,1119.4434712750478,0.9817535338787247
2,bagging,527.9647626376006,1295900.5826990404,1138.3762922246055,0.9811311203449219
2,lasso,855.0134737366405,2488712.983523112,1577.5655243200238,0.9637632497360843
2,linear_regression,874.9316760969805,2592045.5590517838,1609.9830927844503,0.9622586822112832
2,decision_tree,968.0453963435086,5095729.05348468,2257.372156620321,0.9258039547564448
2,knn,3474.850754784473,21297812.079540655,4614.955263005337,0.689894534804256
2,svr,5438.24481491214,59429440.57396372,7709.049265244303,0.134681335027099
3,naive_lag_1,220.03603601895736,148671.74494940738,385.5797517367936,0.9982312588085727
3,lasso,260.37446856819184,140327.6012231402,374.60325842568454,0.9983305287184056
3,linear_regression,260.54395950951346,140445.79073035083,374.76097813186317,0.998329122623052
3,voting,282.2504498313825,192266.59707576424,438.48215137650044,0.9977126127758896
3,ridge,303.7536189043651,169336.3116218313,411.5049351123645,0.99798541337043
3,bagging,313.28284958393465,255470.85026834186,505.44124314141783,0.9969606745637353
3,random_forest,317.6115591672642,268729.87041602633,518.3916187748663,0.9968029325859227
3,gradient_boosting,329.9524925379242,298727.41680707637,546.5596187124296,0.9964460530997656
3,decision_tree,478.0238637892457,629093.5741698579,793.1541931868342,0.9925157014987942
3,knn,2006.6110936808848,7488417.745294934,2736.4973497693973,0.9109106244147052
3,svr,7496.064391387479,106870776.96041586,10337.832314388537,-0.2714369191944399
4,naive_lag_1,221.18891112164306,323215.1280323741,568.5201210444307,0.9952166209387747
4,lasso,304.4646483561692,326533.626272712,571.431208696823,0.9951675092678756
4,linear_regression,304.6894391847708,326733.9560812198,571.6064695935655,0.9951645445136662
4,voting,319.4392591123981,338792.54982791137,582.0588886254649,0.9949860849682023
4,gradient_boosting,349.1209072281891,382822.8589970261,618.7268048153612,0.9943344642961719
4,random_forest,355.6427580830919,394640.5013624488,628.2041876352375,0.9941595706784507
4,bagging,364.1160844892044,408667.76149063325,639.2712737880792,0.993951976118159
4,ridge,367.2389795394706,368317.30151340057,606.891507201576,0.994549137354209
4,decision_tree,558.2878210276084,724868.2739951005,851.3919626089387,0.9892724089213195
4,knn,3285.0498538095244,15827287.846772889,3978.352403542563,0.7657661702188153
4,svr,8161.727058701064,106850620.58718564,10336.857384485173,-0.5813214694099276
5,naive_lag_1,224.03989939968383,173819.71682063144,416.9169183669948,0.9978963295417663
5,linear_regression,240.6782079959259,140607.32969307184,374.9764388505921,0.99829828576932
5,lasso,240.67974180079628,140620.42850635087,374.9939046255964,0.9982981272396259
5,ridge,265.6906724134517,153966.39155788912,392.3855139501064,0.9981366063907732
5,voting,383.9257361989866,528594.9368091333,727.0453471477094,0.9936026270593642
5,gradient_boosting,457.768695909303,1025582.3486918885,1012.7103972468578,0.9875877873414358
5,random_forest,526.6828310301829,1162940.2698258033,1078.3970835577234,0.9859253994019135
5,bagging,528.275785449392,1182126.0719060765,1087.2562126316302,0.9856932013187959
5,decision_tree,1013.5970195922561,4996641.889502781,2235.316955043016,0.939527643206513
5,knn,2638.306334028436,12097325.373517647,3478.1209544116846,0.8535909131748765
5,svr,6132.8875234888965,86389239.3055552,9294.581179674273,-0.04553438447903657
