model,mae_mean,mae_std,mse_mean,mse_std,rmse_mean,rmse_std,r2_mean,r2_std
naive_lag_1,230.28439407266993,11.79320083195252,323877.2929743588,273087.47723802045,536.8622605984782,211.11669201963412,0.9956702453471522,0.004277726984140178
lasso,439.1969662374362,260.6280237214175,701392.4169549964,1006076.0092170902,707.9010627398083,500.335515338016,0.9904652848247203,0.01498363110206098
linear_regression,442.71459561350673,268.3142323922457,721387.9795680126,1052221.9273080928,713.8753112052902,514.5022104174609,0.9901692904311655,0.01565669901382299
ridge,456.02229320535696,252.0715160429654,553429.46234195,450214.36295935523,689.6332709258223,311.9202902467663,0.9934935009591943,0.005412282346780609
voting,468.69707476661125,266.6713141449833,769689.8202519233,703528.1483267042,811.8943708397594,371.68089615057363,0.9917508960885677,0.0053743613710018215
gradient_boosting,558.7198849366465,377.80643851678315,1345194.3600218848,1619738.1225294166,1026.968151299649,602.6304591518608,0.9866666767092213,0.011655128014145533
bagging,565.3798388804316,310.4407150550385,1353797.7334544864,1350838.770040878,1054.953417317737,548.7155692434322,0.9858383311228442,0.01022993133273135
random_forest,570.3585562774233,326.9351795344328,1365702.4884953122,1403604.8621136714,1056.1364486449595,559.3280458940495,0.9858268273222194,0.010507692339897236
decision_tree,875.3596139782851,360.5092150388682,3439334.3822106556,2538472.598273844,1707.0443478920656,810.3502148302966,0.960372205027437,0.029705187836315136
knn,3066.628826967277,752.3252002924831,17438911.335015684,8876938.87836738,4065.8263567538975,1065.344645960293,0.7960473571889916,0.08657979890627232
svr,7219.541748528058,1417.5698618160902,97222561.52416836,25460267.304201175,9785.754961976236,1351.647766767399,-0.15196323615216956,0.2812362762616121
