model,trial_number,validation_mae,state,parameters_json
ridge,0,271.5576769117112,COMPLETE,"{""alpha"": 0.0745934328572655}"
ridge,1,602.6351744954636,COMPLETE,"{""alpha"": 56.69849511478853}"
ridge,2,413.91417855408383,COMPLETE,"{""alpha"": 4.5705630998014515}"
ridge,3,313.5052764751264,COMPLETE,"{""alpha"": 0.9846738873614566}"
ridge,4,268.12886112552894,COMPLETE,"{""alpha"": 0.006026889128682512}"
ridge,5,268.12877711608513,COMPLETE,"{""alpha"": 0.0060252157362038605}"
ridge,6,267.9240012531108,COMPLETE,"{""alpha"": 0.0019517224641449498}"
ridge,7,546.5725595537555,COMPLETE,"{""alpha"": 21.42302175774105}"
ridge,8,314.69329902379206,COMPLETE,"{""alpha"": 1.0129197956845732}"
ridge,9,390.889532796587,COMPLETE,"{""alpha"": 3.4702669886504163}"
ridge,10,267.8966451978976,COMPLETE,"{""alpha"": 0.0014083688910684416}"
ridge,11,267.87719653276463,COMPLETE,"{""alpha"": 0.0010221922977737942}"
ridge,12,267.88065104282043,COMPLETE,"{""alpha"": 0.0010907785690006102}"
ridge,13,270.2509032576289,COMPLETE,"{""alpha"": 0.04855420823441169}"
ridge,14,269.2226696334374,COMPLETE,"{""alpha"": 0.02797096910927525}"
ridge,15,268.1976626932247,COMPLETE,"{""alpha"": 0.007397971391076001}"
ridge,16,267.88093273374966,COMPLETE,"{""alpha"": 0.0010963714327503157}"
ridge,17,268.75607351493466,COMPLETE,"{""alpha"": 0.018571733774518706}"
ridge,18,268.0133434233739,COMPLETE,"{""alpha"": 0.0037276159855465316}"
ridge,19,272.92864765141206,COMPLETE,"{""alpha"": 0.10224714474762586}"
random_forest,0,326.908844369619,COMPLETE,"{""max_depth"": 14, ""max_features"": 0.6202948099826744, ""min_samples_leaf"": 2, ""n_estimators"": 75}"
random_forest,1,292.47524504918283,COMPLETE,"{""max_depth"": 18, ""max_features"": 0.7705811061417018, ""min_samples_leaf"": 6, ""n_estimators"": 125}"
random_forest,2,301.7738927209683,COMPLETE,"{""max_depth"": 16, ""max_features"": 0.9010235593143332, ""min_samples_leaf"": 4, ""n_estimators"": 75}"
random_forest,3,547.2407371484999,COMPLETE,"{""max_depth"": 4, ""max_features"": 0.6105144979421857, ""min_samples_leaf"": 7, ""n_estimators"": 125}"
random_forest,4,339.1254073732947,COMPLETE,"{""max_depth"": 9, ""max_features"": 0.9216123471148523, ""min_samples_leaf"": 1, ""n_estimators"": 150}"
