feature,model_importance_mean,permutation_importance_mae_mean,stability_fraction,combined_score,domain_sanity_passed,redundant_with,eligible_after_redundancy,selected
consumption_lag_1,0.9953441602839787,9178.752876661509,1.0,1.0,True,,True,True
fourier_yearly_cos_2,0.0003621640231905477,20.82259297305157,1.0,0.3342108075309298,True,,True,True
fourier_yearly_cos_1,0.000230744772578932,13.304781601873302,1.0,0.3338937812144979,True,,True,True
same_period_previous_year,8.606663815075091e-05,3.425145952467672,1.0,0.3334865431668439,True,,True,True
consumption_lag_365,5.886937488608959e-05,2.858137490325074,0.6666666666666666,0.22234573255523496,True,,True,True
rolling_max_30,3.256566843536746e-05,1.5401052284006103,0.6666666666666666,0.22228905830453619,True,,True,True
growth_7d,9.424312116469649e-05,-0.7400194030729873,0.6666666666666666,0.22225378354038236,True,,True,True
rolling_slope_7,7.084022664267578e-05,-0.3668982007319907,0.6666666666666666,0.22224594608560846,True,,True,True
rolling_std_30,0.0006413887331767923,1.5885816423119954,0.3333333333333333,0.11138359795310411,True,,True,True
consumption_lag_14,5.757829828201836e-05,4.3454959873875545,0.3333333333333333,0.11128820361778839,True,,True,True
fourier_yearly_sin_2,0.00014837299113311356,3.3373238000147425,0.3333333333333333,0.1112819975496858,True,,True,True
rolling_slope_30,0.0003013390007865086,0.24662293129851687,0.3333333333333333,0.11122098359203336,True,,True,True
day_over_day_change,8.887141936900465e-05,0.3735756497729275,0.3333333333333333,0.11115444016788877,True,,True,True
is_canada_ontario_holiday,2.302446532986122e-05,0.4517741211715891,0.3333333333333333,0.11113522835071037,True,,True,True
day_of_week_cos,2.1364799050995662e-05,0.05782146824488261,0.3333333333333333,0.1111203658531456,True,,True,True
rolling_std_7,0.00018038814131252195,-2.9192654733859627,0.0,6.041064270709338e-05,True,,True,True
day_of_year_sin,0.0001237659298341129,-2.0369129531854884,0.0,4.144828652326033e-05,True,,True,True
consumption_lag_30,8.777610876077932e-05,-2.459280858364131,0.0,2.939556395439348e-05,True,,True,True
rolling_min_30,4.458006231403039e-05,-1.0704864231106817,0.0,1.4929530271322228e-05,True,,True,True
day_of_week_sin,2.6444323803026526e-05,-0.35035772694115314,0.0,8.856006748955984e-06,True,,True,True
rolling_max_7,0.0006796703638168007,6.327350542161731,1.0,0.33379073237439916,True,consumption_lag_1,False,False
day_of_year_cos,0.00020215641384177776,9.05948454866835,1.0,0.3337300360221544,True,fourier_yearly_cos_1,False,False
ema_7,0.00042016100375927924,2.2266180371695783,1.0,0.3335549034321405,True,consumption_lag_1,False,False
rolling_median_7,4.9628590942943634e-05,1.946640308009781,0.6666666666666666,0.22230953617800778,True,consumption_lag_1,False,False
rolling_min_7,7.943749846269548e-05,0.6480511276263429,0.6666666666666666,0.22227235971325954,True,consumption_lag_1,False,False
consumption_lag_7,3.556102116896407e-05,0.3868875968744722,0.6666666666666666,0.22224818145777345,True,consumption_lag_1,False,False
rolling_mean_7,7.300069747015264e-05,-1.9723191380346938,0.6666666666666666,0.22224666961117,True,consumption_lag_1,False,False
same_weekday_previous_week,8.46920998719243e-05,0.4313965744288604,0.3333333333333333,0.1111551403554572,True,consumption_lag_1,False,False
fourier_yearly_sin_1,0.00010887660061211966,-2.115545339472851,0.0,3.6461961251357994e-05,True,day_of_year_sin,False,False
ema_30,4.461856956903119e-05,-3.385763810143718,0.0,1.4942426063731632e-05,True,rolling_max_30,False,False
rolling_mean_30,3.9678053265885845e-05,-1.6826476393945047,0.0,1.3287884013426878e-05,True,rolling_max_30,False,False
rolling_median_30,3.4395219648566335e-05,-3.32029075479223,0.0,1.1518702448525658e-05,True,consumption_lag_14,False,False
fourier_weekly_cos_1,2.4618341532415647e-05,-0.2294776326946665,0.0,8.244498909600562e-06,True,,True,False
fourier_weekly_sin_1,2.4453680632273606e-05,-0.36516508649860957,0.0,8.189355202625526e-06,True,,True,False
fourier_weekly_sin_2,1.6344669149122195e-05,0.07302112217988681,0.0,8.125524880178601e-06,True,,True,False
season,2.344950349284651e-05,-0.12100054004888156,0.0,7.853063770477206e-06,True,,True,False
fourier_weekly_cos_2,1.6415931910090472e-05,-0.015264477274911314,0.0,5.497573122649655e-06,True,,True,False
month,1.051048471937519e-05,-2.693703056858684,0.0,3.519882917139761e-06,True,,True,False
day_of_week,6.472421508911521e-06,-0.00012036853769738694,0.0,2.1675656746590022e-06,True,,True,False
is_weekend,1.310452444473087e-06,-0.03607042400783105,0.0,4.388607467857167e-07,True,,True,False
