model,trial_number,cv_mean_mae,state,parameters_json
ridge,0,310.6728406545461,COMPLETE,"{""alpha"": 0.0745934328572655}"
ridge,1,730.7743482261438,COMPLETE,"{""alpha"": 56.69849511478853}"
ridge,2,540.810166968441,COMPLETE,"{""alpha"": 4.5705630998014515}"
ridge,3,392.07307881058244,COMPLETE,"{""alpha"": 0.9846738873614566}"
ridge,4,303.8434934203084,COMPLETE,"{""alpha"": 0.006026889128682512}"
ridge,5,303.84332790061563,COMPLETE,"{""alpha"": 0.0060252157362038605}"
ridge,6,303.44085486540575,COMPLETE,"{""alpha"": 0.0019517224641449498}"
ridge,7,663.4523057706457,COMPLETE,"{""alpha"": 21.42302175774105}"
ridge,8,394.1603734607081,COMPLETE,"{""alpha"": 1.0129197956845732}"
ridge,9,511.1757297335068,COMPLETE,"{""alpha"": 3.4702669886504163}"
ridge,10,303.3872473069673,COMPLETE,"{""alpha"": 0.0014083688910684416}"
ridge,11,303.3491505344008,COMPLETE,"{""alpha"": 0.0010221922977737942}"
ridge,12,303.3559164241191,COMPLETE,"{""alpha"": 0.0010907785690006102}"
ridge,13,308.08057597603295,COMPLETE,"{""alpha"": 0.04855420823441169}"
ridge,14,306.0267100528393,COMPLETE,"{""alpha"": 0.02797096910927525}"
ridge,15,303.9791204962668,COMPLETE,"{""alpha"": 0.007397971391076001}"
ridge,16,303.3564681525786,COMPLETE,"{""alpha"": 0.0010963714327503157}"
ridge,17,305.0898378999062,COMPLETE,"{""alpha"": 0.018571733774518706}"
ridge,18,303.61610321730666,COMPLETE,"{""alpha"": 0.0037276159855465316}"
ridge,19,313.4475176967677,COMPLETE,"{""alpha"": 0.10224714474762586}"
random_forest,0,715.9523189907263,COMPLETE,"{""max_depth"": 14, ""max_features"": 0.6202948099826744, ""min_samples_leaf"": 2, ""n_estimators"": 75}"
random_forest,1,605.7754852766094,COMPLETE,"{""max_depth"": 18, ""max_features"": 0.7705811061417018, ""min_samples_leaf"": 6, ""n_estimators"": 125}"
random_forest,2,549.2108978847325,COMPLETE,"{""max_depth"": 16, ""max_features"": 0.9010235593143332, ""min_samples_leaf"": 4, ""n_estimators"": 75}"
random_forest,3,916.6837470736631,COMPLETE,"{""max_depth"": 4, ""max_features"": 0.6105144979421857, ""min_samples_leaf"": 7, ""n_estimators"": 125}"
random_forest,4,582.344748950243,COMPLETE,"{""max_depth"": 9, ""max_features"": 0.9216123471148523, ""min_samples_leaf"": 1, ""n_estimators"": 150}"
random_forest,5,526.7548129472119,COMPLETE,"{""max_depth"": 20, ""max_features"": 0.9772440625543326, ""min_samples_leaf"": 4, ""n_estimators"": 225}"
random_forest,6,587.3708630703566,COMPLETE,"{""max_depth"": 15, ""max_features"": 0.9485492899907672, ""min_samples_leaf"": 1, ""n_estimators"": 150}"
random_forest,7,632.7491192824511,COMPLETE,"{""max_depth"": 8, ""max_features"": 0.7716012576402029, ""min_samples_leaf"": 1, ""n_estimators"": 125}"
random_forest,8,518.6714126977578,COMPLETE,"{""max_depth"": 14, ""max_features"": 0.9543313789155439, ""min_samples_leaf"": 8, ""n_estimators"": 150}"
random_forest,9,763.8843057127757,COMPLETE,"{""max_depth"": 12, ""max_features"": 0.5904572976289505, ""min_samples_leaf"": 1, ""n_estimators"": 250}"
random_forest,10,807.4430172671123,COMPLETE,"{""max_depth"": 4, ""max_features"": 0.7511693281322854, ""min_samples_leaf"": 8, ""n_estimators"": 200}"
random_forest,11,521.1436616599639,COMPLETE,"{""max_depth"": 20, ""max_features"": 0.9873620946720376, ""min_samples_leaf"": 5, ""n_estimators"": 250}"
random_forest,12,563.9472114588614,COMPLETE,"{""max_depth"": 20, ""max_features"": 0.8649913060020347, ""min_samples_leaf"": 5, ""n_estimators"": 200}"
random_forest,13,514.9930632087437,COMPLETE,"{""max_depth"": 11, ""max_features"": 0.9997694841084266, ""min_samples_leaf"": 8, ""n_estimators"": 250}"
random_forest,14,553.3557520592257,COMPLETE,"{""max_depth"": 11, ""max_features"": 0.8514158859875878, ""min_samples_leaf"": 8, ""n_estimators"": 175}"
random_forest,15,581.1766949518315,COMPLETE,"{""max_depth"": 12, ""max_features"": 0.8386224670374003, ""min_samples_leaf"": 7, ""n_estimators"": 200}"
random_forest,16,520.3541285330499,COMPLETE,"{""max_depth"": 8, ""max_features"": 0.9965983968519504, ""min_samples_leaf"": 8, ""n_estimators"": 100}"
random_forest,17,792.9280141008169,COMPLETE,"{""max_depth"": 10, ""max_features"": 0.503287911102331, ""min_samples_leaf"": 7, ""n_estimators"": 225}"
random_forest,18,552.2309990869331,COMPLETE,"{""max_depth"": 6, ""max_features"": 0.9104563838986971, ""min_samples_leaf"": 6, ""n_estimators"": 175}"
