feature,model_importance_mean,permutation_importance_mae_mean,stability_fraction,combined_score,domain_sanity_passed,redundant_with,eligible_after_redundancy,selected
consumption_lag_1,0.9804407399104185,9736.808328308185,1.0,1.0,True,,True,True
day_of_year_cos,0.0013843859744451772,27.936172623092016,1.0,0.33476037803567693,True,,True,True
fourier_yearly_cos_2,0.000848197848037214,24.230876814732216,1.0,0.3344512347016247,True,,True,True
rolling_slope_30,0.00324374799350918,46.56427151169283,0.6666666666666666,0.22491913959788612,True,,True,True
fourier_yearly_sin_2,0.0007926163832509106,27.592664848263407,0.6666666666666666,0.2234363154671362,True,,True,True
rolling_min_30,0.0012492654285425986,22.12841539595061,0.6666666666666666,0.22340450340442855,True,,True,True
rolling_std_30,0.0005345502268577803,3.2104166484860457,0.6666666666666666,0.22251386683017452,True,,True,True
consumption_lag_365,3.0966509423143204e-05,4.996888381944287,0.6666666666666666,0.22240381555444208,True,,True,True
day_over_day_change,6.841056765535644e-05,2.909668788823194,0.6666666666666666,0.22234509129106814,True,,True,True
consumption_lag_14,6.164650018719116e-05,2.1772319221441765,0.3333333333333333,0.11120660600873855,True,,True,True
is_canada_ontario_holiday,0.00020658403653977102,0.15337232838024495,0.3333333333333333,0.11118659680548419,True,,True,True
consumption_lag_30,0.00017090279675455687,-6.178718041282423,0.3333333333333333,0.11116921518267732,True,,True,True
fourier_yearly_sin_1,0.00017077935514107215,-0.6952574822187824,0.3333333333333333,0.11116917321460845,True,,True,True
growth_7d,0.00013695175438942022,-0.14297001326980685,0.3333333333333333,0.1111576724002724,True,,True,True
rolling_slope_7,0.00010616945391854838,0.402334618864063,0.0,4.986949097755173e-05,True,,True,True
month,0.00013865009838393875,-1.8568838087905306,0.0,4.7138697506119216e-05,True,,True,True
rolling_std_7,0.00010490316422463374,-0.4773162488854117,0.0,3.566530845240703e-05,True,,True,True
rolling_max_30,6.400915667583741e-05,-0.36912853333406775,0.0,2.176203485848818e-05,True,,True,True
day_of_week_sin,5.178577133075387e-05,-0.4098774438685268,0.0,1.7606289777896374e-05,True,,True,True
fourier_weekly_sin_2,3.096057804300946e-05,0.16773602858014555,0.0,1.6268409330050023e-05,True,,True,True
ema_7,0.0009116929948485204,42.94856421293787,1.0,0.3351136098993859,True,consumption_lag_1,False,False
rolling_median_7,0.0008189891545463913,40.7078101199406,1.0,0.33500538138894637,True,consumption_lag_1,False,False
rolling_max_7,0.0032669962557901997,85.98917470245533,0.6666666666666666,0.22627672966791504,True,consumption_lag_1,False,False
rolling_min_7,0.0026251664778322715,85.31962310981037,0.6666666666666666,0.22603559669123788,True,consumption_lag_1,False,False
fourier_yearly_cos_1,0.0011321966749126987,26.03527237658486,0.6666666666666666,0.2234984507215083,True,day_of_year_cos,False,False
rolling_mean_7,0.0006815216856365979,27.52956967675115,0.6666666666666666,0.2233963851192711,True,consumption_lag_1,False,False
same_period_previous_year,3.282508411864275e-05,4.828424154437001,0.6666666666666666,0.22239868017469458,True,consumption_lag_365,False,False
consumption_lag_7,0.00013052032348882036,1.4923258409752256,0.3333333333333333,0.11120657463174148,True,consumption_lag_1,False,False
rolling_mean_30,7.184000721744355e-05,-1.6509471492006016,0.3333333333333333,0.1111355355032214,True,rolling_min_30,False,False
same_weekday_previous_week,6.52163275344461e-05,0.017110157505408036,0.3333333333333333,0.11113386931889518,True,consumption_lag_1,False,False
day_of_year_sin,0.0001786753807783324,0.008140950208765707,0.0,6.102531934676199e-05,True,fourier_yearly_sin_1,False,False
ema_30,6.221587542208264e-05,-1.238477930252092,0.0,2.1152349444994578e-05,True,consumption_lag_14,False,False
rolling_median_30,4.9875047908094544e-05,-4.4188759331557925,0.0,1.6956676005613407e-05,True,consumption_lag_14,False,False
fourier_weekly_cos_1,3.055304047995325e-05,0.15158136016846888,0.0,1.557680880382345e-05,True,,True,False
fourier_weekly_sin_1,3.949181510553124e-05,-0.057645607496306206,0.0,1.3426551787018952e-05,True,,True,False
fourier_weekly_cos_2,1.776179811332412e-05,0.15437970717152516,0.0,1.1323801502127016e-05,True,,True,False
season,1.2047300204356847e-05,0.14999846990552143,0.0,9.230979666492948e-06,True,,True,False
day_of_week_cos,2.114351172286789e-05,-0.0609359118296273,0.0,7.188437764836164e-06,True,,True,False
day_of_week,1.2954886548901233e-05,-0.01965050247135878,0.0,4.404443165728678e-06,True,,True,False
is_weekend,2.092850062002576e-06,-0.00027217587815660683,0.0,7.115337612326598e-07,True,,True,False
