fold,model,mae,mse,rmse,r2
1,gradient_boosting,1283.7730264292113,4411026.816521222,2100.2444658946783,0.9652825231146563
1,linear_regression,383.5373925023067,245039.9071162648,495.0150574641794,0.998071386172618
1,naive_lag_1,244.12415156398126,177018.4282987712,420.73558002476,0.9986067567828596
1,random_forest,1663.315660586439,5604125.743480672,2367.3034751549435,0.9558921053861805
1,ridge,937.2617511788206,1115845.6061771137,1056.3359343395991,0.9912176131201537
2,gradient_boosting,464.5551176991179,900288.0244280155,948.8350881096333,0.9868914123393172
2,linear_regression,334.4497161480055,932219.5355158435,965.5151658652719,0.9864264755625576
2,naive_lag_1,242.03297225908412,796661.4467706098,892.558931819412,0.9884002606637873
2,random_forest,438.20755719124264,904660.2795703069,951.1363096687597,0.9868277503908602
2,ridge,334.54131455714094,932242.0373870946,965.5268185747585,0.9864261479254639
3,gradient_boosting,311.71317127639344,213432.88238109072,461.98796778822145,0.9974607984133033
3,linear_regression,253.61265575278776,139178.53547105505,373.0663955263929,0.9983441991029703
3,naive_lag_1,220.03603601895736,148671.74494940738,385.5797517367936,0.9982312588085727
3,random_forest,318.88779286614994,259241.8204193843,509.15795232853264,0.9969158114981941
3,ridge,257.2564312273728,141513.308212143,376.18254639488924,0.9983164224146616
4,gradient_boosting,330.228722559202,335678.6633978544,579.3778243925585,0.9950321685139795
4,linear_regression,304.5814608451888,326872.46099076193,571.7276108347068,0.9951624947287808
4,naive_lag_1,221.18891112164306,323215.1280323741,568.5201210444307,0.9952166209387747
4,random_forest,318.56033476650293,360713.6432483411,600.5944082726221,0.9946616666778061
4,ridge,304.6469168141714,326910.58995792846,571.7609552583391,0.9951619304442305
5,gradient_boosting,463.3043387833279,1073411.3534499186,1036.0556710186565,0.9870089320412629
5,linear_regression,240.0604025943066,140554.30491293923,374.9057280343143,0.9982989275070098
5,naive_lag_1,224.03989939968383,173819.71682063144,416.9169183669948,0.9978963295417663
5,random_forest,443.5784776191895,994982.8393896056,997.488265289174,0.9879581209545213
5,ridge,240.08437457455577,140564.46927114797,374.91928367469706,0.9982988044918508
