outer_fold,model,trial_number,inner_cv_mean_mae,state,parameters_json
1,ridge,0,1190.8921864744252,COMPLETE,"{""alpha"": 32.382294941038815}"
1,ridge,1,1358.5110477057385,COMPLETE,"{""alpha"": 0.6152302471208801}"
1,ridge,2,1318.6560209526458,COMPLETE,"{""alpha"": 1.9051252256614937}"
1,ridge,3,1173.4096730688232,COMPLETE,"{""alpha"": 14.533059910058286}"
1,ridge,4,2128.469256668227,COMPLETE,"{""alpha"": 0.009986675452148243}"
1,ridge,5,3125.9236151985283,COMPLETE,"{""alpha"": 0.004327840907072701}"
1,ridge,6,1211.403500159326,COMPLETE,"{""alpha"": 7.197729750830389}"
1,ridge,7,1379.8525684780902,COMPLETE,"{""alpha"": 0.14502496217624397}"
1,ridge,8,1412.602970786997,COMPLETE,"{""alpha"": 0.0844133536050204}"
1,ridge,9,1201.4472354199465,COMPLETE,"{""alpha"": 8.283556719419314}"
1,ridge,10,7243.289643782349,COMPLETE,"{""alpha"": 0.0010355544434250557}"
1,ridge,11,1595.1916438833578,COMPLETE,"{""alpha"": 93.7745690626988}"
1,ridge,12,1275.1320209609853,COMPLETE,"{""alpha"": 53.487014533112934}"
1,ridge,13,1171.258302789904,COMPLETE,"{""alpha"": 15.769520802598654}"
1,ridge,14,1206.1033952184755,COMPLETE,"{""alpha"": 7.7482239130769015}"
1,ridge,15,1301.1950459311913,COMPLETE,"{""alpha"": 2.404528348203492}"
1,ridge,16,1170.8877438927282,COMPLETE,"{""alpha"": 16.026123308127143}"
1,ridge,17,1361.2455502125845,COMPLETE,"{""alpha"": 0.40919476352198364}"
1,ridge,18,1317.9952944261165,COMPLETE,"{""alpha"": 1.923574378070987}"
1,ridge,19,1177.5172173321046,COMPLETE,"{""alpha"": 26.774381154645894}"
1,random_forest,0,3192.9753354373565,COMPLETE,"{""max_depth"": 9, ""max_features"": 0.7119690078210117, ""min_samples_leaf"": 4, ""n_estimators"": 200}"
1,random_forest,1,3173.9399101027448,COMPLETE,"{""max_depth"": 18, ""max_features"": 0.5043919782617184, ""min_samples_leaf"": 1, ""n_estimators"": 175}"
1,random_forest,2,3409.8347675471923,COMPLETE,"{""max_depth"": 6, ""max_features"": 0.5282852054468927, ""min_samples_leaf"": 8, ""n_estimators"": 100}"
1,random_forest,3,3307.3419264155636,COMPLETE,"{""max_depth"": 8, ""max_features"": 0.5352883484328999, ""min_samples_leaf"": 5, ""n_estimators"": 75}"
1,random_forest,4,3160.175798692154,COMPLETE,"{""max_depth"": 9, ""max_features"": 0.5462965536509846, ""min_samples_leaf"": 3, ""n_estimators"": 175}"
1,random_forest,5,3232.439964764671,COMPLETE,"{""max_depth"": 5, ""max_features"": 0.5185865893933832, ""min_samples_leaf"": 2, ""n_estimators"": 200}"
1,random_forest,6,3254.1989720496463,COMPLETE,"{""max_depth"": 14, ""max_features"": 0.98098939690791, ""min_samples_leaf"": 4, ""n_estimators"": 100}"
1,random_forest,7,3331.7644320781014,COMPLETE,"{""max_depth"": 8, ""max_features"": 0.9154022062848375, ""min_samples_leaf"": 7, ""n_estimators"": 250}"
1,random_forest,8,3315.852088620967,COMPLETE,"{""max_depth"": 13, ""max_features"": 0.5152709663812415, ""min_samples_leaf"": 2, ""n_estimators"": 75}"
1,random_forest,9,3237.594758776117,COMPLETE,"{""max_depth"": 12, ""max_features"": 0.7315099703159844, ""min_samples_leaf"": 2, ""n_estimators"": 225}"
1,random_forest,10,3228.4209969584963,COMPLETE,"{""max_depth"": 19, ""max_features"": 0.6811454376101125, ""min_samples_leaf"": 6, ""n_estimators"": 150}"
1,random_forest,11,3237.4904808919378,COMPLETE,"{""max_depth"": 20, ""max_features"": 0.6322275028075346, ""min_samples_leaf"": 1, ""n_estimators"": 150}"
1,random_forest,12,3237.480519138288,COMPLETE,"{""max_depth"": 17, ""max_features"": 0.6121234157185171, ""min_samples_leaf"": 1, ""n_estimators"": 150}"
1,random_forest,13,3187.903354001502,COMPLETE,"{""max_depth"": 15, ""max_features"": 0.6043049183847995, ""min_samples_leaf"": 3, ""n_estimators"": 175}"
1,random_forest,14,3183.0265223028377,COMPLETE,"{""max_depth"": 11, ""max_features"": 0.7873399981918416, ""min_samples_leaf"": 3, ""n_estimators"": 175}"
1,random_forest,15,3145.825617288379,COMPLETE,"{""max_depth"": 16, ""max_features"": 0.5731558856483381, ""min_samples_leaf"": 1, ""n_estimators"": 125}"
1,random_forest,16,3246.8417967419496,COMPLETE,"{""max_depth"": 16, ""max_features"": 0.5871201135141141, ""min_samples_leaf"": 3, ""n_estimators"": 125}"
1,random_forest,17,3183.1484026768935,COMPLETE,"{""max_depth"": 11, ""max_features"": 0.6590707512874215, ""min_samples_leaf"": 4, ""n_estimators"": 125}"
1,random_forest,18,3303.758613063651,COMPLETE,"{""max_depth"": 10, ""max_features"": 0.8190871516320863, ""min_samples_leaf"": 2, ""n_estimators"": 125}"
1,random_forest,19,3349.578182257565,COMPLETE,"{""max_depth"": 4, ""max_features"": 0.5755032967066831, ""min_samples_leaf"": 5, ""n_estimators"": 200}"
1,gradient_boosting,0,3036.037919733968,COMPLETE,"{""learning_rate"": 0.14425922174859396, ""max_depth"": 3, ""min_samples_leaf"": 2, ""n_estimators"": 50}"
1,gradient_boosting,1,3112.967510610643,COMPLETE,"{""learning_rate"": 0.04580259471505711, ""max_depth"": 3, ""min_samples_leaf"": 7, ""n_estimators"": 200}"
1,gradient_boosting,2,3182.928489069766,COMPLETE,"{""learning_rate"": 0.024211811894855925, ""max_depth"": 4, ""min_samples_leaf"": 1, ""n_estimators"": 200}"
