outer_fold,model,selected_trial_number,inner_cv_mean_mae,parameters_json
1,ridge,16,1170.8877438927282,"{""alpha"": 16.026123308127143}"
1,gradient_boosting,0,3036.037919733968,"{""learning_rate"": 0.14425922174859396, ""max_depth"": 3, ""min_samples_leaf"": 2, ""n_estimators"": 50}"
1,random_forest,15,3145.825617288379,"{""max_depth"": 16, ""max_features"": 0.5731558856483381, ""min_samples_leaf"": 1, ""n_estimators"": 125}"
2,ridge,17,788.1378278915196,"{""alpha"": 0.0010815210560658852}"
2,random_forest,15,1519.5054320256286,"{""max_depth"": 15, ""max_features"": 0.9832612572806506, ""min_samples_leaf"": 3, ""n_estimators"": 250}"
2,gradient_boosting,18,1676.4412891292839,"{""learning_rate"": 0.05571824761731639, ""max_depth"": 4, ""min_samples_leaf"": 1, ""n_estimators"": 150}"
3,ridge,14,565.9078904851815,"{""alpha"": 0.08435944526931878}"
3,random_forest,14,887.818373208147,"{""max_depth"": 10, ""max_features"": 0.9984299925006488, ""min_samples_leaf"": 7, ""n_estimators"": 200}"
3,gradient_boosting,11,922.375757830172,"{""learning_rate"": 0.06438366076293937, ""max_depth"": 2, ""min_samples_leaf"": 1, ""n_estimators"": 150}"
4,ridge,11,397.9718004226265,"{""alpha"": 0.001024815169427098}"
4,random_forest,7,642.3674110289442,"{""max_depth"": 16, ""max_features"": 0.9667994945881786, ""min_samples_leaf"": 3, ""n_estimators"": 125}"
4,gradient_boosting,3,665.9379624243786,"{""learning_rate"": 0.09171216010133489, ""max_depth"": 3, ""min_samples_leaf"": 4, ""n_estimators"": 125}"
5,ridge,12,289.01193486467685,"{""alpha"": 0.0010171612723510874}"
5,gradient_boosting,14,655.353910519073,"{""learning_rate"": 0.10258325747715343, ""max_depth"": 3, ""min_samples_leaf"": 5, ""n_estimators"": 75}"
5,random_forest,17,667.3582259090055,"{""max_depth"": 14, ""max_features"": 0.999394424664779, ""min_samples_leaf"": 3, ""n_estimators"": 200}"
