date,model,actual,prediction,residual,absolute_error
2020-07-05,prophet,135697.4648,125710.860075339,9986.604724660981,9986.604724660981
2020-07-06,prophet,135780.4265,125834.1319279744,9946.294572025596,9946.294572025596
2020-07-07,prophet,135577.9718,125973.97173895293,9604.000061047074,9604.000061047074
2020-07-04,prophet,135127.9755,125555.1766006958,9572.798899304194,9572.798899304194
2020-07-03,prophet,135002.3896,125439.3793918204,9563.010208179592,9563.010208179592
2020-07-08,prophet,134957.0356,126048.533904066,8908.501695934,8908.501695934
2019-06-03,prophet,109241.904,117916.70528436088,-8674.801284360889,8674.801284360889
2018-08-22,prophet,113641.0159,122296.90787226924,-8655.891972269237,8655.891972269237
2019-06-04,prophet,109591.0467,118222.24493596089,-8631.198235960881,8631.198235960881
2018-08-23,prophet,113606.7373,122143.06869394964,-8536.331393949644,8536.331393949644
2020-07-01,prophet,133594.3511,125122.78502787036,8471.566072129644,8471.566072129644
2019-06-05,prophet,110014.0409,118468.320704957,-8454.279804956997,8454.279804956997
2019-05-27,prophet,107341.1529,115792.3272454679,-8451.174345467894,8451.174345467894
2019-06-02,prophet,109241.5338,117632.9280939543,-8391.39429395429,8391.39429395429
2020-07-02,prophet,133598.2702,125253.39140345895,8344.878796541045,8344.878796541045
2019-05-24,prophet,106497.298,114790.3697234496,-8293.071723449611,8293.071723449611
2020-05-19,prophet,105879.7193,114092.09609737615,-8212.376797376157,8212.376797376157
2020-06-30,prophet,133183.6995,124971.97173794796,8211.727762052033,8211.727762052033
2019-05-29,prophet,108230.6258,116441.7124546304,-8211.086654630402,8211.086654630402
2018-08-24,prophet,113842.356,122049.47387739546,-8207.11787739546,8207.11787739546
