Date,Consumption
2018-04-01,885.0
2018-12-31,914.5
2019-01-01,916.0
2019-01-03,912.0
2019-01-04,877.0
2019-01-05,894.5
2019-01-06,874.5
2019-01-07,884.0
2019-01-09,838.5
2019-01-10,880.0
2019-01-11,887.5
2019-01-12,887.0
2019-01-13,886.5
2019-01-14,887.5
2019-01-15,859.5
2019-01-16,883.0
2019-01-17,892.0
2019-01-18,879.5
2019-01-19,877.0
2019-01-20,898.5
2019-01-21,875.0
2019-01-22,885.5
2019-01-23,856.0
2019-01-24,849.0
2019-01-25,849.5
2019-01-26,867.0
2019-01-27,869.5
2019-01-28,882.0
2019-01-29,890.0
2019-01-30,889.5
2019-02-01,909.0
2019-02-02,897.0
2019-02-03,903.5
2019-02-04,895.5
2019-02-05,878.5
2019-02-06,897.0
2019-02-07,893.5
2019-02-08,817.0
2019-02-09,855.0
2019-02-10,875.0
2019-02-11,861.0
2019-02-12,1000.0
2019-02-13,871.0
2019-02-14,874.5
2019-02-15,885.0
2019-02-16,893.0
2019-02-17,896.5
2019-02-18,894.0
2019-02-19,890.0
2019-02-20,904.0
2019-02-21,905.0
2019-02-22,904.0
2019-02-23,907.5
2019-02-24,907.5
2019-02-25,848.5
2019-02-26,855.5
2019-02-27,887.0
2019-02-28,895.0
2019-03-01,894.5
2019-03-02,903.0
2019-03-03,905.5
2019-03-04,906.5
2019-03-05,904.5
2019-03-06,905.0
2019-03-07,903.5
2019-03-08,899.5
2019-03-09,903.5
2019-03-10,903.5
2019-03-11,899.0
2019-03-12,902.5
2019-03-13,902.0
2019-03-14,903.0
2019-03-15,899.0
2019-03-16,904.0
2019-03-17,903.0
2019-03-18,904.0
2019-03-19,905.5
2019-03-20,903.0
2019-03-21,905.5
2019-03-22,904.0
2019-03-23,903.5
2019-03-24,903.0
2019-03-25,900.0
2019-03-26,906.5
2019-03-27,888.0
2019-03-28,903.5
2019-03-29,899.5
2019-03-30,903.5
2019-03-31,906.0
2019-04-04,901.5
2019-04-05,908.0
2019-04-06,907.5
2019-04-07,908.5
2019-04-08,908.0
2019-04-09,909.0
2019-04-10,914.0
2019-04-11,916.5
2019-04-12,898.5
2019-04-13,917.5
2019-04-14,920.0
2019-04-15,918.0
2019-04-16,919.0
2019-04-17,918.0
2019-04-18,916.0
2019-04-19,923.0
2019-04-20,926.5
2019-04-21,926.5
2019-04-22,920.0
2019-04-23,928.0
2019-04-24,924.5
2019-04-25,929.0
2019-04-26,920.0
2019-04-27,926.0
2019-04-28,927.5
2019-04-29,922.0
2019-04-30,935.5
2019-05-01,934.5
2019-05-02,934.0
2019-05-03,932.0
2019-05-05,939.0
2019-05-06,937.5
2019-05-07,935.0
2019-05-08,934.5
2019-05-09,936.0
2019-05-10,934.5
2019-05-11,940.5
2019-05-12,940.0
2019-05-13,937.5
2019-05-14,937.5
2019-05-15,929.0
2019-05-16,935.5
2019-05-17,934.0
2019-05-18,931.5
2019-05-19,931.5
2019-05-22,935.5
2019-05-23,927.5
2019-05-24,935.0
2019-05-25,936.0
2019-05-26,930.0
2019-05-27,930.0
2019-05-30,934.5
2019-05-31,937.5
2019-06-01,936.5
2019-06-02,936.0
2019-06-03,936.5
2019-06-04,936.0
2019-06-05,936.5
2019-06-06,935.0
2019-06-07,930.0
2019-06-08,935.0
2019-06-09,936.5
2019-06-10,937.0
2019-06-11,937.0
2019-06-12,931.0
2019-06-13,934.0
2019-06-14,927.0
2019-06-15,935.5
2019-06-16,921.5
2019-06-17,933.0
2019-06-18,921.0
2019-06-19,933.0
2019-06-20,918.0
2019-06-21,928.0
2019-06-22,937.0
2019-06-23,937.0
2019-06-24,937.0
2019-06-25,937.0
2019-06-26,936.0
2019-06-27,936.5
2019-06-28,935.5
2019-06-29,934.5
2019-06-30,935.0
2019-07-01,924.5
2019-07-02,921.0
2019-07-03,916.5
2019-07-04,936.5
2019-07-05,930.0
2019-07-06,939.0
2019-07-07,940.0
2019-07-08,939.0
2019-07-09,939.0
2019-07-10,934.5
2019-07-11,939.5
2019-07-12,936.5
2019-07-13,936.0
2019-07-14,935.5
2019-07-15,937.0
2019-07-16,923.5
2019-07-17,936.0
2019-07-18,938.5
2019-07-19,934.5
2019-07-20,937.0
2019-07-21,937.5
2019-07-22,921.5
2019-07-23,919.5
2019-07-24,938.0
2019-07-25,934.0
2019-07-26,906.5
2019-07-27,927.0
2019-07-28,937.5
2019-07-29,937.0
2019-07-31,937.5
2019-08-01,938.0
2019-08-02,925.5
2019-08-03,923.0
2019-08-04,937.5
2019-08-05,892.5
2019-08-06,903.5
2019-08-07,933.5
2019-08-08,937.0
2019-08-09,935.0
2019-08-10,935.5
2019-08-11,934.5
2019-08-12,937.5
2019-08-13,931.0
2019-08-14,931.0
2019-08-15,927.0
2019-08-16,936.5
2019-08-17,931.0
2019-08-18,922.0
2019-08-19,919.0
2019-08-20,887.5
2019-08-21,904.5
2019-08-22,923.0
2019-08-23,908.5
2019-08-24,933.5
2019-08-25,933.5
2019-08-26,934.0
2019-08-27,935.0
2019-08-28,929.5
2019-08-29,935.5
2019-08-30,932.0
2019-08-31,934.0
2019-09-01,918.0
2019-09-02,928.5
2019-09-03,934.5
2019-09-05,934.5
2019-09-06,934.5
2019-09-07,934.5
2019-09-08,936.0
2019-09-09,933.0
2019-09-10,934.5
2019-09-11,934.0
2019-09-12,936.0
2019-09-13,933.5
2019-09-14,936.5
2019-09-15,939.0
2019-09-16,934.0
2019-09-17,933.0
2019-09-18,896.0
2019-09-19,874.5
2019-09-20,917.5
2019-09-21,919.0
2019-09-22,923.5
2019-09-23,936.0
2019-09-24,936.5
2019-09-25,935.0
2019-09-26,932.0
2019-09-27,934.5
2019-09-29,926.5
2019-09-30,717.0
2019-10-01,919.0
2019-10-02,933.0
2019-10-03,925.0
2019-10-05,933.5
2019-10-06,934.0
2019-10-07,935.0
2019-10-08,936.0
2019-10-09,936.5
2019-10-10,863.5
2019-10-11,903.0
2019-10-12,934.0
2019-10-13,936.0
2019-10-14,924.0
2019-10-15,924.0
2019-10-16,932.5
2019-10-17,930.0
2019-10-18,917.5
2019-10-19,922.5
2019-10-20,925.0
2019-10-21,926.0
2019-10-22,908.0
2019-10-23,909.5
2019-10-25,921.5
2019-10-26,926.0
2019-10-27,927.5
2019-10-28,926.5
2019-10-29,926.0
2019-10-30,926.0
2019-10-31,932.0
2019-11-01,932.5
2019-11-02,931.0
2019-11-03,933.5
2019-11-04,933.0
2019-11-06,932.0
2019-11-07,935.0
2019-11-08,934.5
2019-11-09,929.0
2019-11-10,929.5
2019-11-11,925.5
2019-11-12,934.5
2019-11-18,925.0
2019-11-19,934.5
2019-11-20,932.5
2019-11-21,927.0
2019-11-22,933.0
2019-11-23,914.0
2019-11-24,931.0
2019-11-25,933.0
2019-11-26,933.5
2019-11-27,924.0
2019-11-28,925.5
2019-11-29,928.5
2019-11-30,920.0
2019-12-01,923.0
2019-12-02,924.0
2019-12-03,924.5
2019-12-04,932.5
2019-12-05,930.0
2019-12-06,922.0
2019-12-07,932.5
2019-12-08,932.5
2019-12-09,916.0
2019-12-10,933.0
2019-12-11,930.5
2019-12-12,934.0
2019-12-14,913.5
2019-12-15,933.0
2019-12-16,932.5
2019-12-17,868.0
2019-12-18,930.0
2019-12-19,840.5
2019-12-20,922.5
2019-12-21,916.5
2019-12-23,926.5
2019-12-24,928.0
2019-12-25,922.0
2019-12-26,897.5
2019-12-31,903.0
2020-01-03,856.0
2020-01-04,911.5
2020-01-06,923.5
2020-01-07,915.5
2020-01-08,900.5
2020-01-09,904.5
2020-01-10,868.0
2020-01-11,852.0
2020-01-12,873.5
2020-01-13,913.5
2020-01-14,907.5
2020-01-15,907.0
2020-01-16,863.5
2020-01-18,910.5
2020-01-19,919.5
2020-01-20,919.5
2020-01-21,903.5
2020-01-22,884.0
2020-01-23,919.0
2020-01-24,919.0
2020-01-25,921.0
2020-01-26,922.0
2020-01-31,921.5
2020-02-01,912.0
2020-02-02,921.5
2020-02-03,920.5
2020-02-04,919.5
2020-02-05,919.0
2020-02-06,920.5
2020-02-07,923.5
2020-02-08,924.0
2020-02-09,923.5
2020-02-10,922.5
2020-02-11,923.0
2020-02-12,921.5
2020-02-13,898.0
2020-02-14,882.0
2020-02-15,921.5
2020-02-16,922.5
2020-02-17,921.0
2020-02-18,917.0
2020-02-19,922.5
2020-02-20,923.0
2020-02-21,923.0
2020-02-22,921.5
2020-02-23,922.5
2020-02-24,925.5
2020-02-25,928.0
2020-02-26,927.5
2020-02-27,925.5
2020-02-28,925.0
2020-02-29,928.0
2020-03-01,924.5
2020-03-02,926.5
2020-03-03,923.5
2020-03-04,925.5
2020-03-05,925.5
2020-03-06,927.0
2020-03-07,922.0
2020-03-08,919.0
2020-03-09,929.5
2020-03-10,928.0
2020-03-11,909.0
2020-03-12,908.5
2020-03-13,924.0
2020-03-15,926.5
2020-03-16,870.5
2020-03-17,925.5
2020-03-18,925.5
2020-03-19,915.0
2020-03-28,939.5
2020-03-31,934.5
2020-04-02,934.5
2020-04-03,932.0
2020-04-04,932.0
2020-04-05,932.5
2020-04-06,933.5
2020-04-07,933.0
2020-04-08,930.5
2020-04-09,933.0
2020-04-10,933.5
2020-04-11,933.5
2020-04-12,933.0
2020-04-13,933.5
2020-04-14,1000.0
2020-04-15,932.5
2020-04-16,931.0
2020-04-17,933.0
2020-04-18,933.0
2020-04-19,935.0
2020-04-20,931.5
2020-04-21,934.0
2020-04-22,933.0
2020-04-23,936.0
2020-04-24,938.0
2020-04-25,937.0
2020-04-26,939.0
2020-04-27,937.5
2020-04-29,940.0
2020-04-30,939.5
2020-05-01,939.0
2020-05-02,937.0
2020-05-03,933.5
2020-05-04,938.0
2020-05-05,938.5
2020-05-06,940.0
2020-05-07,940.0
2020-05-08,936.5
2020-05-09,929.04
2020-05-10,927.5
2020-05-11,936.89
2020-05-12,940.35
2020-05-13,939.41
2020-05-14,933.71
2020-05-15,940.1
2020-05-16,917.83
2020-05-17,939.56
2020-05-18,940.27
2020-05-19,941.0
2020-05-20,941.16
2020-05-21,940.15
2020-05-22,933.11
2020-05-23,940.35
2020-05-24,935.46
2020-05-25,941.94
2020-05-26,941.63
2020-05-27,938.56
2020-05-28,932.95
2020-05-29,939.41
2020-05-30,939.93
2020-05-31,939.91
2020-06-01,941.73
2020-06-02,938.04
2020-06-03,941.93
2020-06-04,942.75
2020-06-05,933.16
2020-06-06,940.43
2020-06-07,942.33
2020-06-10,936.85
2020-06-11,931.43
2020-06-12,940.11
2020-06-13,942.87
2020-06-14,942.03
2020-06-15,936.27
2020-06-16,942.29
2020-06-17,940.71
2020-06-18,936.24
2020-06-19,942.25
2020-06-20,939.76
2020-06-21,942.66
2020-06-22,942.24
2020-06-23,923.8
2020-06-24,894.7
2020-06-30,936.18
2020-07-01,936.3
2020-07-02,932.5
2020-07-03,932.31
2020-07-04,937.17
2020-07-05,934.06
2020-07-08,935.89
2020-07-09,938.88
2020-07-10,939.81
2020-07-11,939.02
2020-07-12,939.38
2020-07-13,938.69
2020-07-14,936.35
2020-07-15,936.53
2020-07-16,938.43
2020-07-17,935.43
2020-07-18,923.36
2020-07-19,936.71
2020-07-20,939.06
2020-07-21,938.78
2020-07-22,937.55
2020-07-23,925.82
2020-07-24,907.58
2020-07-25,937.88
2020-07-26,934.04
2020-07-27,895.09
2020-07-28,935.31
2020-07-29,917.02
2020-07-30,930.51
2020-07-31,939.91
2020-08-01,939.12
2020-08-02,939.28
2020-08-04,924.82
2020-08-05,938.72
2020-08-06,936.11
2020-08-08,938.14
2020-08-09,939.66
2020-08-10,939.99
2020-08-11,937.78
2020-08-12,938.47
2020-08-13,937.78
2020-08-14,928.7
2020-08-15,931.48
2020-08-16,927.8
2020-08-17,909.12
2020-08-18,934.43
2020-08-19,933.06
2020-08-20,933.84
2020-08-21,935.35
2020-08-22,937.23
2020-08-24,936.74
2020-08-25,928.03
2020-08-26,938.41
2020-08-27,938.82
2020-08-28,936.97
2020-08-29,939.39
2020-08-30,938.26
2020-08-31,918.6
2020-09-01,896.45
2020-09-02,938.07
2020-09-04,938.57
2020-09-05,938.86
2020-09-06,938.9
2020-09-07,928.45
2020-09-08,937.69
2020-09-09,940.36
2020-09-10,941.21
2020-09-11,942.48
2020-09-12,941.7
2020-09-13,940.4
2020-09-14,922.29
2020-09-15,942.66
2020-09-16,932.47
2020-09-17,940.85
2020-09-18,940.21
2020-10-31,862.35
2020-11-01,925.88
2020-11-02,934.33
2020-11-03,934.83
2020-11-04,931.4
2020-11-05,931.4
2020-11-06,936.59
2020-11-07,931.25
2020-11-08,927.7
2020-11-09,929.81
2020-11-10,902.44
2020-11-11,909.09
2020-11-12,937.41
2020-11-13,936.46
2020-11-14,935.26
2020-11-15,904.95
2020-11-16,886.0
2020-11-17,871.38
2020-11-18,910.44
2020-11-19,934.39
2020-11-21,936.94
2020-11-22,938.67
2020-11-23,926.8
2020-11-24,932.04
2020-11-25,937.09
2020-11-26,939.34
2020-11-27,927.65
2020-11-28,896.18
2020-11-29,926.34
2020-11-30,939.0
2020-12-01,938.66
2020-12-02,938.08
2020-12-03,934.88
2020-12-04,939.35
2020-12-05,939.31
2020-12-06,934.09
2020-12-07,912.13
2020-12-08,884.13
2020-12-09,916.61
2020-12-10,936.43
2020-12-11,937.18
2020-12-12,899.65
2020-12-13,799.73
2020-12-14,771.85
2020-12-15,863.77
2020-12-16,927.1
2020-12-17,931.35
2020-12-18,914.73
2020-12-19,837.73
2020-12-20,863.81
2020-12-21,882.72
2020-12-22,914.72
2020-12-23,924.81
2020-12-24,926.78
2020-12-25,934.46
2020-12-26,927.87
2020-12-27,929.7
2020-12-28,883.56
2020-12-29,827.59
2020-12-30,882.14
2020-12-31,915.49
2021-01-01,917.88
2021-01-02,933.45
2021-01-03,930.94
2021-01-04,927.77
2021-01-05,936.47
2021-01-06,911.69
2021-01-07,938.22
2021-01-08,938.41
2021-01-09,934.13
2021-01-10,938.09
2021-01-12,845.55
2021-01-13,829.58
2021-01-14,859.46
2021-01-15,866.22
2021-01-16,913.44
2021-01-17,931.62
2021-01-18,937.41
2021-01-19,935.33
2021-01-20,931.15
2021-01-21,935.18
2021-01-22,922.49
2021-01-23,931.07
2021-01-24,933.86
2021-01-25,934.34
2021-01-26,932.5
2021-01-27,926.66
2021-01-28,922.56
2021-01-29,929.74
2021-01-30,927.64
2021-01-31,933.72
2021-02-01,932.92
2021-02-02,936.54
2021-02-03,930.82
2021-02-04,936.72
2021-02-05,931.61
2021-02-06,925.34
2021-02-07,936.48
2021-02-08,929.2
2021-02-09,921.44
2021-02-11,897.18
2021-02-12,923.4
2021-02-13,925.04
2021-02-14,797.89
2021-02-15,870.02
2021-02-16,924.73
2021-02-17,926.36
2021-02-18,926.11
2021-02-19,929.72
2021-02-20,930.35
2021-02-23,925.4
2021-02-24,936.12
2021-02-25,927.48
2021-02-26,922.42
2021-02-27,931.92
2021-03-31,935.76
2021-04-01,935.32
2021-04-02,941.7
2021-04-03,947.36
2021-04-04,946.82
2021-04-05,930.88
2021-04-06,920.76
2021-04-07,910.19
2021-04-08,884.32
2021-04-09,880.57
2021-04-10,884.34
2021-04-11,876.14
2021-04-12,893.53
2021-04-13,856.98
2021-04-14,861.36
2021-04-15,872.93
2021-04-16,884.15
2021-04-17,845.53
2021-04-18,905.25
2021-04-19,918.7
2021-04-20,931.97
2021-04-21,902.16
2021-04-22,909.33
2021-04-23,878.45
2021-04-24,853.34
2021-04-25,882.82
2021-04-26,902.29
2021-04-27,909.36
2021-04-28,891.94
2021-04-29,858.59
2021-04-30,849.48
2021-05-01,869.06
2021-05-02,869.69
2021-05-03,873.82
2021-05-04,878.26
2021-05-05,857.93
2021-05-06,842.41
2021-05-07,877.13
2021-05-08,848.79
2021-05-09,852.95
2021-05-10,821.79
2021-05-11,856.34
2021-05-12,852.19
2021-05-13,850.22
2021-05-14,838.73
2021-05-15,844.27
2021-05-16,839.82
2021-05-17,830.06
2021-05-18,871.21
2021-05-19,883.35
2021-05-20,902.55
2021-05-21,922.6
2021-05-23,931.57
2021-05-24,933.66
2021-05-25,788.0
2021-05-26,868.57
2021-05-27,904.42
2021-05-28,942.23
2021-05-29,940.93
2021-05-31,948.5
2021-06-01,941.22
2021-06-02,947.97
2021-06-03,942.25
2021-06-04,931.38
2021-06-05,944.28
2021-06-06,940.44
2021-06-07,939.27
2021-06-08,919.59
2021-06-10,931.34
2021-06-11,943.31
2021-06-12,941.67
2021-06-13,945.29
2021-06-16,944.78
2021-06-17,943.24
2021-06-18,930.57
2021-06-19,920.42
2021-06-20,906.05
2021-06-22,946.71
2021-06-23,940.92
2021-06-24,944.12
2021-06-25,947.04
2021-06-26,946.67
2021-06-27,930.64
2021-06-28,917.98
2021-06-29,947.7
2021-07-01,944.64
2021-07-03,944.92
2021-07-04,944.24
2021-07-05,946.67
2021-07-06,943.95
2021-07-07,933.59
2021-07-08,932.5
2021-07-10,839.18
2021-07-12,812.57
2021-07-13,813.07
2021-07-14,837.27
2021-07-15,891.46
2021-07-16,944.12
2021-07-17,954.58
2021-07-18,949.17
2021-07-19,933.36
2021-07-20,874.51
2021-07-21,919.75
2021-07-22,925.36
2021-07-23,938.22
2021-07-24,949.56
2021-07-25,951.8
2021-07-26,949.56
2021-07-27,950.47
2021-07-28,939.94
2021-07-29,952.02
2021-07-30,945.0
2021-07-31,951.99
2021-08-01,951.27
2021-08-02,949.64
2021-08-03,949.8
2021-08-04,950.12
2021-08-05,947.21
2021-08-07,951.85
2021-08-08,954.09
2021-08-09,954.41
2021-08-10,955.41
2021-08-11,952.5
2021-08-12,944.81
2021-08-14,952.98
2021-08-15,949.18
2021-08-16,943.23
2021-08-17,905.46
2021-08-18,949.34
2021-08-19,951.48
2021-08-20,952.7
2021-08-21,948.7
2021-08-22,951.15
2021-08-23,946.85
2021-08-24,930.07
2021-08-25,927.34
2021-08-26,940.08
